"rowId","absenceForm","hazardEstablished","expectation","absenceIsUnmarked","authoredMissingFact","authoredAffectedDecision","textEstablishes","mustNotAssert","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","candidateStates","candidateEvidenceBasis","candidateReasoning","explanationSummary","uncertaintyStatements"
"US-A1","NOT_VISIBLE","true","REQUIRED","false","whether a soft landing system, netting or other collective protection is rigged in the bays beneath the sheets","REQUIRED_CONTROL","no soft landing system was VISIBLE from the roof, because the sheets are opaque","there is no soft landing system / no collective fall protection is in place / the operatives are relying solely on the running line","Is a soft landing system (e.g., netting or air bags) actually installed in the bays beneath the work area, even though it could not be seen from the roof due to the opaque sheets?","REQUIRED_CONTROL","SURVIVED","Whether a soft landing/fall-through arrest system is present beneath the fragile roof bays is not established; only that it was not visible from the roof due to sheet opacity.","If no soft landing system is installed, the only fall protection for a fall through the fragile roof is the running line/staging boards, which do not arrest a fall through fragile sheeting between them, leaving a serious uncontrolled fall-through exposure; if a soft landing system is in fact installed below (just not visible from above due to the opaque roof), the fall-through consequence is substantially mitigated and the required corrective action differs (verify existing system adequacy vs. install fall-through protection immediately).","cand-fragile-roof-fall","ACTIVE","","cand-fragile-roof-fall=ACTIVE | cand-asbestos-exposure=ACTIVE | cand-struckby-below=ACTIVE","[cand-fragile-roof-fall] The operatives are working on a fragile roof surface with staging boards over the purlins, and from the roof no soft landing system (e.g. netting or air bags) was visible in the bays below to arrest a fall through the fragile sheeting.  ||  [cand-asbestos-exposure] Work involves replacing fixings on an asbestos-cement roof, meaning operatives are actively disturbing an asbestos-containing material.  ||  [cand-struckby-below] The shop floor beneath the roof work is occupied and machines are running while work proceeds overhead.","[cand-fragile-roof-fall] A fragile asbestos-cement roof presents a fall-through hazard independent of the running line, which only arrests falls off the working surface, not falls through fragile sheeting between/around the staging boards. With no soft landing system visible beneath, a fall through the roof could result in an uncontrolled fall to the shop floor below.  ||  [cand-asbestos-exposure] Removing/replacing corroded fixings on asbestos-cement sheeting can disturb the material and generate asbestos fibre release, creating an inhalation exposure risk to the operatives performing the work.  ||  [cand-struckby-below] Overhead work involving fixing replacement and roof sheet handling above an occupied, operating shop floor creates a struck-by/falling-object exposure to workers below if tools, fixings, debris, or asbestos-cement fragments fall through or off the fragile roof.","Beyond the ground control hazard already identified, the fragile asbestos-cement roof itself presents a fall-through exposure that the running line and staging boards do not fully address, compounded by the fact the shop floor below is occupied and operating machinery, so any fall-through or dropped material also threatens workers below. Disturbance of asbestos-cement fixings during the work also raises a fibre-release inhalation concern for the operatives. Whether a soft landing system is actually present beneath the work (simply unseen due to the opaque roof) is a blocking question, since the answer determines whether the fall-through risk is already mitigated or requires immediate additional control.",""
"US-B1","NOT_MENTIONED","false","REQUIRED","true","the imposed load in kilonewtons per square metre — the number of pallets, the area they cover, and the figure the posted notice actually carries","REGULATORY_INTERPRETATION","a load notice is posted at the access point; a pallet weighs 720 kg; the stack is two high","the imposed load exceeds the posted limit / the mezzanine is overloaded / the posted limit is being complied with","What is the maximum intended load posted at the access point (in kN/m²), and what is the actual imposed load per square metre from the two-pallet-high stack across the bay, so it can be compared against the posted and rated value?","HAZARD_SEVERITY","SURVIVED","The posted maximum intended load value at the access point and the actual load per unit area imposed by the two-pallet-high stacking are not stated.","If the calculated imposed load (from pallet weights and stacking footprint) is within the posted maximum intended load and the structure's rated capacity, the stacking as configured is compliant and no corrective action on load is needed; if it exceeds either the posted figure or the capacity of the original 1980s structure, the mezzanine is being overloaded and stacking must be reduced or stopped until verified by a structural assessment. These are different current outcomes and the observation gives the gross weight per pallet and stack height but not the posted value, bay area, or a confirmation the structure's original rating still applies to this loading pattern.","cand-mezz-load","INSUFFICIENT_EVIDENCE","","cand-mezz-load=INSUFFICIENT_EVIDENCE | cand-mobile-equip=ACTIVE","[cand-mezz-load] The observation states a load notice is posted at the access point and that the structure is a steel-framed deck on original 1980s columns, but does not state the posted value, the actual load being imposed, or whether the structure's rated capacity has been reassessed since the 1980s.  ||  [cand-mobile-equip] The observation states a pallet truck is actively being used to stack pallets on the mezzanine floor.","[cand-mezz-load] Two pallets high at 720 kg gross each across a bay stacked on a mezzanine of older original construction raises a question of whether the imposed load (which can be computed as weight per area if bay dimensions were known) is within the surface's maximum intended load as posted. Without the posted value or floor area, whether the current stacking exceeds the rated capacity cannot be determined from the observation alone.  ||  [cand-mobile-equip] A pallet truck in active use on an elevated mezzanine floor near a stacking operation and a stairway access point presents a mobile equipment hazard (struck-by, travel near an edge/stair access) distinct from the material handling and hazcom findings already recorded.","Beyond the established material handling and hazcom findings, two additional matters stand out: an active pallet truck operation on the mezzanine (a mobile equipment exposure) and an open question about whether the two-pallet-high stacking of 720 kg pallets exceeds the maximum intended load posted at the access point, particularly given the mezzanine's original 1980s construction. The supplied governed record (R1) establishes that the surface must support its maximum intended load, expressed as a posted uniformly distributed load, but the observation does not give the posted value or the load actually being imposed, so whether the current stacking complies cannot be determined from what is stated.",""
"US-C1","OBSERVER_CANNOT_DETERMINE","true","REQUIRED","false","whether the gate's force-limiting safety edge has been commissioned and is currently functioning","REQUIRED_CONTROL","the site manager COULD NOT SAY whether the safety edge was commissioned or tested, and the installer file is not held on site","the safety edge was never commissioned / the gate has no force limitation / the edge does not work","Has the force-limiting safety edge on the leading edge of the gate ever been commissioned or tested, and is it currently functional?","REQUIRED_CONTROL","SURVIVED","Whether the force-limiting safety edge has ever been commissioned or tested, and whether it is currently functional, is not established; the site manager could not say and the installer's file is not on site.","If the safety edge is confirmed functional, the gate has an engineered control that limits force on contact with a pedestrian, meaning the struck-by/pinch exposure is at least partially mitigated and the gate can reasonably remain in automatic service with that control credited; if the safety edge was never commissioned, was never tested, or is not functional, the powered gate is cycling with no verified means of stopping or limiting force on contact with a pedestrian in its path, which would call for removing the gate from automatic service or otherwise separating pedestrians from the gate line until the edge is verified.","gate-pedestrian-struck","ACTIVE","","gate-pedestrian-struck=ACTIVE | gate-pinch-point=ACTIVE","[gate-pedestrian-struck] The observation states pedestrians currently walk through the path of the powered gate while it is cycling and travelling.  ||  [gate-pinch-point] The observation describes a moving gate leaf closing against a fixed guide post, which is a point where a person or object could be pinched or crushed as the leaf reaches the closed position.","[gate-pedestrian-struck] A powered sliding gate that cycles automatically on vehicle detection, combined with pedestrians routinely crossing its line of travel to reach the cabins, creates a current struck-by/crush exposure between the moving leaf and pedestrians sharing the same opening.  ||  [gate-pinch-point] A moving gate leaf travelling into contact with a fixed post creates a shear/pinch point at the closing interface; this is a mechanical hazard distinct from the general pedestrian struck-by exposure along the gate's travel path.","Beyond the fall protection finding, the observation describes a powered sliding vehicle gate that cycles automatically while pedestrians walk through its line of travel to reach site cabins, creating a current struck-by exposure, and a related pinch/crush point where the leaf closes against a fixed guide post. The status of the force-limiting safety edge intended to control contact force at the leading edge is unresolved: the site manager could not confirm it was ever commissioned or tested, and no installer documentation is available on site, so it is not known whether this control is functioning to mitigate the pedestrian exposure. This unresolved safety-device status is decision-critical because it determines whether the gate can continue in automatic service alongside pedestrian traffic or must be taken out of automatic operation or have pedestrians segregated from its path until verified.",""
"US-D1","LIKELY_BUT_UNESTABLISHED","true","REQUIRED","true","whether advance warning signage and a taper have already been set out upstream of the point the operative has reached","REQUIRED_CONTROL","one operative is coning out at night, walking against the flow, with his vehicle fifteen metres beyond him","there is no traffic management in place / no advance warning has been set out / the operative is working unprotected in live traffic","(none emitted)","","","","","","","","cand-live-lane-worker=ACTIVE | cand-walking-against-flow=ACTIVE | cand-single-op-no-signaler=INSUFFICIENT_EVIDENCE","[cand-live-lane-worker] The text states a single worker is placing cones on a live carriageway while traffic continues to pass in the open lane at the posted speed, meaning a worker is on foot in close proximity to moving vehicular traffic right now.  ||  [cand-walking-against-flow] The text states the operative is walking against the direction of traffic flow while placing cones, which describes his current orientation relative to approaching vehicles.  ||  [cand-single-op-no-signaler] The text states only one operative is present performing the cone placement; it does not describe any other worker, spotter, or traffic management support at the scene.","[cand-live-lane-worker] A lone worker on foot setting out cones alongside a live traffic lane, with vehicles passing at posted speed in the adjacent open lane, is a direct struck-by exposure to moving mobile equipment/vehicles. This is a present, ongoing exposure, not a hypothetical one, since the observation describes the activity as happening now.  ||  [cand-walking-against-flow] Walking against the flow of traffic while working alongside a live lane reduces the worker's ability to see oncoming hazards approach from behind or misjudge closing speed, compounding the struck-by exposure already identified. This is a distinct, current behavioral/positional fact independent of the general lane-closure hazard.  ||  [cand-single-op-no-signaler] A lone worker performing a lane closure at night on a live carriageway, with no mention of a second person acting as lookout, traffic controller, or advance warning support, suggests a possible gap in supervision or safe system of work for high-risk traffic management activity. Evidence is limited to the absence of any mention of a second person, so this is raised with lower confidence as a possible procedural gap rather than a confirmed one.","The observation describes a lone worker placing traffic cones at night alongside a live carriageway with traffic passing at posted speed in the open lane, and walking against the flow of that traffic as he does so — both present a current struck-by exposure to moving vehicles. The combination of night-time low visibility and walking against the direction of oncoming traffic compounds the risk beyond either factor alone. The lack of any mention of a second worker or dedicated traffic-control support is noted as a possible, lower-confidence procedural gap given the high-risk nature of solo lane-closure work, though the observation does not establish this as confirmed absent.",""
"US-E1","WORST_CASE_TEMPTATION","true","REQUIRED","true","whether the vacuum lifter's reserve and low-vacuum alarm were function-tested before this lift","REQUIRED_CONTROL","the low-vacuum alarm DID NOT SOUND during the lift observed","the alarm is not working / there is no functioning low-vacuum alarm / the vacuum reserve is untested and therefore absent","Is public pedestrian access beneath or immediately adjacent to the lift path currently possible, or has the area been closed off by other means (e.g., building line, hoarding) not visible from this vantage point?","EXPOSURE","SURVIVED","Whether any pedestrian was present or could currently access the area beneath the suspended load at the moment observed.","If pedestrians can currently walk beneath the suspended glass unit, the load must be stopped or the area barriered before the lift continues; if the space is already closed to pedestrian access by some means not captured in the observation, no additional barrier action is needed right now.","c2","ACTIVE","","c1=ACTIVE | c2=ACTIVE","[c1] The low-vacuum alarm on the twin-circuit pad set did not sound during the observed lift, which is the intended warning for vacuum loss on a suspended load.  ||  [c2] The pavement below the suspended glass unit is open to the public and has no barrier separating pedestrians from the area beneath the lift.","[c1] A vacuum-lifted glass unit is suspended and controlled solely by vacuum pad grip; the alarm not sounding during the entire observed lift means no positive confirmation was given that vacuum was being monitored as a functioning safeguard, and both workers had hands directly on the suspended glass, placing them in the drop zone of a suspended load held by a single retention method.  ||  [c2] Members of the public on an unbarriered public pavement beneath a suspended glass unit are exposed to a struck-by/falling-object hazard if the load or a pad were to drop or the unit were to shift during positioning.","Both workers are directly handling a large glass unit suspended by a vacuum lifter whose low-vacuum alarm did not sound at any point during the observed lift, and the public pavement beneath the work is open and unbarriered. These two conditions compound: an unalarmed vacuum system suspended directly over an uncontrolled public walkway raises the consequence of any vacuum loss from a worker hazard to a public struck-by hazard. Whether pedestrians currently have access to the space beneath the load is the key unresolved fact governing whether immediate barrier/stop-work action is needed.",""
"US-F1","EXPLICITLY_ABSENT","true","FORBIDDEN","","is the crown guard genuinely absent, or was it removed only for a moment — and is there really no push stick anywhere on site?","NONE_OWED","","","(none emitted)","","","","","","","","cand-pushstick=ACTIVE | cand-lonework=ACTIVE","[cand-pushstick] The observation states the joiner is feeding stock past the blade by hand with no push stick available in the workshop.  ||  [cand-lonework] The observation states the operator is working alone while running the saw with the guard and spreader removed.","[cand-pushstick] Hand-feeding narrow stock past an unguarded blade without a push stick places the operator's hands in close proximity to the blade, increasing the likelihood and severity of a contact injury beyond what the missing guard alone represents.  ||  [cand-lonework] Operating an unguarded saw by hand-feed with no one else present means an injury from blade contact could go unwitnessed and unaided for longer, increasing the consequence of any incident.","The deterministic findings already capture the missing crown guard/spreader (machine_guarding) and the associated exposure (ground_control). Beyond that, the observation establishes two additional aggravating current facts: the operator is hand-feeding stock with no push stick ever available in the workshop, and he is working alone while running the unguarded saw. The combination of the removed guard/spreader with hand-feeding and no push stick is a genuine cross-hazard interaction that materially increases the likelihood of hand contact with the blade, and is recorded as such.",""
"US-G1","EXPLICITLY_PRESENT","false","FORBIDDEN","","were the outriggers deployed, and is the harness anchor point rated for this machine?","NONE_OWED","","","(none emitted)","","","","","","","","mewp-mobile-equip=CONTROLLED","[mewp-mobile-equip] The observation states a self-propelled boom MEWP is operating at height and that the area beneath it is taped off, indicating an exclusion measure for the ground-level struck-by/falling-object exposure associated with mobile elevated work platform operation.","[mewp-mobile-equip] A boom MEWP working at height over a ground area presents a mobile equipment and overhead/struck-by exposure to anyone entering beneath it; the taping off is a stated control reducing but not necessarily eliminating that exposure if breached.","The fall protection hazard is already captured as active by the deterministic engine; the observation describes a work-restraint system (harness, short lanyard, verified karabiner attachment) that appears to be functioning as intended given the stated checks, so no additional fall-protection candidate or question is warranted. A secondary, low-confidence mobile equipment/struck-by exposure exists from the boom MEWP working over an area that has been taped off as a stated control. No decision-critical facts are missing and no cross-hazard interaction is established, since the level compacted hardstanding removes any ground-instability concern and no outriggers are required for this machine type.",""
"US-H1","SETTLED_THRESHOLD","false","FORBIDDEN","","is a fit factor of 187 adequate for this task, and was the test done on the mask he is actually wearing?","NONE_OWED","","","(none emitted)","","","","","","","","","","","The observation describes a respirator fit test that meets every criterion in the supplied governed record: a quantitative protocol producing a fit factor of 187 (well above the 100 threshold), on the correct make/model/size, with a clean-shaven seal and in-service cartridges. Read against that record, the fit-testing aspect of respiratory protection appears controlled rather than deficient, which is worth a closer review against the deterministic ACTIVE state. No additional hazard candidates or decision-critical questions arise from this observation; the facts as stated are complete and self-consistent for the fit-test question, and the lockout/tagout and other family assessments are left undisturbed as no new stated facts bear on them.",""
"US-I1","DETERMINISTIC_DERIVATION","false","FORBIDDEN","","has the conveyor been locked out and tagged, and was the isolation verified before entry?","NONE_OWED","","","Has the coiled, disconnected cable and the open terminals been locked out or tagged so that no one can reconnect or re-energize it while the fitter is inside the guard enclosure?","REQUIRED_CONTROL","SURVIVED","The observation does not state whether the disconnected cable ends, terminal box, or starter panel have been locked, tagged, or otherwise secured against reconnection while the fitter works inside the enclosure.","If a lockout/tagout device or a group lock is in place preventing reconnection, the isolation is durable and the current work is adequately protected against re-energization by a third party; if no lock or tag exists, the bare disconnected cable could be reconnected by another worker unaware the fitter is inside the enclosure, creating an active risk of startup during the repair. These two answers lead to different current outcomes: one requires no further action, the other requires an immediate stop-work and application of lockout before work continues.","cand-loto-1","CORRECTED","","cand-loto-1=CORRECTED","[cand-loto-1] The supply cable to the single drive motor has been physically removed with both ends visible, which is a positive, verifiable means of isolating the conveyor's only prime mover from electrical energy.","[cand-loto-1] This is not a residual lockout/tagout hazard candidate but rather documents that energy isolation has been achieved through physical removal of the conductor — a robust form of isolation. It is included here to record that the isolation method observed is physical disconnection rather than a lock/tag on a breaker, which is a variant worth noting even though it appears effective given the single-drive configuration stated.","The conveyor's single drive motor supply cable has been physically removed with both ends visible, which is a strong physical means of de-energization for this single-drive, horizontal, empty belt with no stored gravity load — this appears to address the suspended/stored energy concern for this specific machine. However, the observation does not state whether this disconnection is secured by a lock or tag preventing another person from reconnecting the cable while the fitter works inside the guard enclosure, which is the key open question given a second fitter is standing at the door and could be mistaken for someone tasked with restoring power. No governed record was supplied, so no regulatory obligation is asserted here — only the factual gap is raised.",""
"US-J1","DECISION_INVARIANT_UNKNOWN","false","FORBIDDEN","","does the site hold a written traffic management plan covering this reversing operation?","NONE_OWED","","","(none emitted)","","","","","","","","mobile_equipment_reversing=CONTROLLED","[mobile_equipment_reversing] The text shows a banksman present and communicating agreed signals with driver acknowledgement, plus an alarm, coning, and a stop when a pedestrian approached, indicating active controls around the reversing tipper.","[mobile_equipment_reversing] Reversing mobile plant in a compound is an inherent struck-by/crush hazard for pedestrians; the observation shows this hazard being actively managed with a banksman, signals, alarm, coning and demonstrated intervention, so it is present but currently controlled rather than uncontrolled.","The observation describes a reversing tipper being actively managed with a banksman using agreed hand signals acknowledged by the driver, a sounding alarm, coning to separate the manoeuvre area from pedestrians, and a demonstrated stop when a pedestrian approached — indicating the mobile equipment hazard is currently controlled rather than uncontrolled. The absence of a recorded written traffic management plan is noted but does not change the current-day picture, since the controls actually observed (banksman, signals, alarm, coning, intervention) are functioning and no stated gap or failure in them is reported. No decision-critical question or cross-hazard interaction arises from the facts as given.","Whether a formal written traffic management plan exists is not recorded, but this does not appear to change the current effectiveness of the controls observed in this manoeuvre."
