"rowId","opportunity","thresholdShape","expectation","absenceIsUnmarked","authoredMissingFact","authoredAffectedDecision","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","explanationSummary","uncertaintyStatements"
"TR-A1","A_UNMARKED_REQUIRED","NONE","REQUIRED","true","whether the silo discharge auger has been isolated and locked off for the duration of this work","REQUIRED_CONTROL","Has the discharge auger and any other mechanical conveying equipment connected to the silo been locked out or otherwise positively isolated before the worker entered to work on the surface of the material?","REQUIRED_CONTROL","SURVIVED","The observation does not state whether the discharge auger or other silo conveying equipment has been locked out, tagged, or otherwise isolated before entry.","If the auger has been locked out, the risk of sudden material flow or mechanical engulfment caused by unintended auger operation is controlled; if it has not been isolated, the panel being at ground level on the far side of the building means it could be energized or activated by someone unaware a person is inside, creating an immediate engulfment/entrapment exposure. This changes whether stop-work/immediate isolation is required now versus whether the existing control is adequate.","","","","The core current hazard is a worker standing on the surface of bridged bulk solids inside a silo while actively breaking up the blockage with a lance — a classic engulfment/entrapment exposure, compounded by the discharge auger's control panel being remote and out of sight at ground level across the building, so isolation status is not evident from the observation. Whether that auger has been locked out and whether the second man is functioning as a true attendant with rescue capability are both unresolved and decision-critical, since either could leave the entrant with no protection against sudden material collapse or auger activation. A possible confined-space classification and atmospheric hazard from the stored meal are also flagged as plausible but unconfirmed given the limited detail provided.",""
"TR-A1","A_UNMARKED_REQUIRED","NONE","REQUIRED","true","whether the silo discharge auger has been isolated and locked off for the duration of this work","REQUIRED_CONTROL","Is the second man at the hatch acting as a dedicated attendant maintaining continuous communication and equipped to summon or initiate rescue, and is retrieval equipment in place for the entrant on the material surface?","REQUIRED_CONTROL","SURVIVED","The observation states a second man is at the hatch but does not establish whether he is functioning as an attendant with communication/rescue capability or retrieval equipment is in use.","If a trained attendant with rescue means is stationed and continuously monitoring, the entrapment/engulfment exposure has a mitigating control in place; if the second man is merely present without a communication or rescue role, there is no means to detect or respond to a sudden bridge collapse or engulfment, materially increasing the severity of the outcome and the urgency of corrective action now.","","","","The core current hazard is a worker standing on the surface of bridged bulk solids inside a silo while actively breaking up the blockage with a lance — a classic engulfment/entrapment exposure, compounded by the discharge auger's control panel being remote and out of sight at ground level across the building, so isolation status is not evident from the observation. Whether that auger has been locked out and whether the second man is functioning as a true attendant with rescue capability are both unresolved and decision-critical, since either could leave the entrant with no protection against sudden material collapse or auger activation. A possible confined-space classification and atmospheric hazard from the stored meal are also flagged as plausible but unconfirmed given the limited detail provided.",""
"TR-B1","B_SETTLED_THRESHOLD_SILENCE","SETTLED_BELOW","FORBIDDEN","","does the supplied record's safety-can requirement apply to this one-gallon container?","NONE_OWED","(none emitted)","","","","","","","","The observation supports the existing hazcom and chemical_transfer findings for the open decanting of a solvent-based release agent. A low-confidence fire_explosion candidate is added because open transfer of a flammable solvent can generate vapors, though no ignition source or vapor accumulation is stated to be present, and the area is described as mechanically ventilated with no ignition sources in use. The supplied governed record on flammable liquid containers does not require a metal safety can here because the container is at the one-gallon nominal capacity threshold, not greater than one gallon, so its size-based obligation is not triggered by these facts.","The observation does not state whether the release agent is highly viscid, which is relevant only to a container size above one gallon and does not change the outcome here since the stated container is exactly one gallon nominal capacity."
"TR-B2","B_SETTLED_THRESHOLD_SILENCE","SETTLED_ABOVE","FORBIDDEN","","is the 41-foot measurement to the correct opening, and does the record's 25-foot separation apply to a 500-gallon container?","NONE_OWED","(none emitted)","","","","","","","","The bulk LPG container's water capacity (500 gallons) and its measured 41-foot horizontal separation from the nearest building opening both fall within the scope of the supplied separation-distance record, and the measured distance exceeds the required 25-foot minimum for that capacity band, so the container-to-opening separation requirement is satisfied. The compound is fenced and the valve housing locked with no work in progress, so no additional current fire/explosion exposure is indicated beyond the separation question already resolved by the record. No decision-critical facts are missing and no cross-hazard interaction is established on the facts given.",""
"TR-B3","B_SETTLED_THRESHOLD_SILENCE","SETTLED_NEAR_BOUNDARY","FORBIDDEN","","is 0.52 metres per second, so close to the 0.5 minimum, actually adequate — and was it measured in a way comparable to the record's requirement?","NONE_OWED","(none emitted)","","","","","","","","The measured face velocity (0.52 m/s, averaged across nine readings at the working sash height with a calibrated meter) meets the supplied governed record's minimum of 0.5 m/s, and the sash is currently at that same measured height with the apparatus fully inside the hood, so the primary control for the solvent extraction is functioning as required. This supports treating the chemical exposure hazard from the solvent extraction as currently controlled rather than active or unresolved. The hazcom finding from the deterministic engine stands unaffected by this hood-performance assessment.",""
"TR-B4","B_SETTLED_THRESHOLD_SILENCE","IRRELEVANT_CONCEPT","FORBIDDEN","","there is no barrier between the two groups — what is its height and fire-resistance rating, and does the store meet the record without one?","NONE_OWED","(none emitted)","","","","","","","","The observation establishes a 31-foot horizontal separation between the oxygen and acetylene cylinder groups, which satisfies the 20-foot minimum distance provision of the supplied governed record on cylinder storage separation, so the lack of a physical barrier between them is immaterial since the distance provision alone is sufficient. Valve caps are fitted and no torch or hose is connected, indicating the cylinders are currently in a stored, non-in-use state consistent with storage requirements rather than active hot work. No decision-critical gaps were identified: the measured distance, its basis, and the applicable threshold are all stated, and the outcome (compliant separation) is settled on the facts given.",""
"TR-C1","C_GENUINE_THRESHOLD_OR_BASIS_AMBIGUITY","BASIS_AMBIGUOUS","REQUIRED","false","how much of the working shift the setter spends at this press position, which is what converts the single 88 dBA reading into the eight-hour average the record is written in","REGULATORY_INTERPRETATION","What is the setter's 8-hour time-weighted average noise exposure (via dosimetry or duration-weighted calculation), given that only a single instantaneous 88 dBA reading was taken?","APPLICABILITY","SURVIVED","The observation records only a single instantaneous 88 dBA reading and explicitly states it does not record how much of the shift the setter spends at this position, nor any dosimetry.","The supplied governed record's action level is defined as an 8-hour TWA dose, not an instantaneous reading. If the TWA equals or exceeds 85 dBA, the hearing conservation programme requirement is triggered and hearing protection, monitoring and signage become required controls. If the TWA is below 85 dBA (e.g., the setter is only briefly at that position or the press cycles intermittently), the action level is not met and the programme is not currently required on these facts. The single reading alone cannot resolve which of these applies.","noise_exposure_1","INSUFFICIENT_EVIDENCE","","A single instantaneous 88 dBA reading was taken at the setter's ear during press cycling, but the supplied governed record measures the hearing conservation action level as an 8-hour time-weighted average dose, and the observation itself notes no duration or dosimetry data was captured to make that comparison — so whether the action level is actually triggered remains open. Separately, and regardless of that open question, the observation establishes as a current fact that no hearing protection is worn and no zoning signage is posted at this position. The determination of programme applicability should not proceed on the single reading alone; a shift-representative TWA or dosimetry result is needed to settle it.",""
"TR-C2","C_GENUINE_THRESHOLD_OR_BASIS_AMBIGUITY","AGGREGATE_MISSING","REQUIRED","true","the total weight on the hook — the fabrication plus the spreader beam and slings — against the crane's five-ton marking","REQUIRED_CONTROL","What is the combined weight of the steel fabrication, spreader beam, and chain slings being lifted?","REGULATORY_INTERPRETATION","SURVIVED","The observation records the crane's rated load marking but does not record the weight of the fabrication or of the spreader beam and slings, so the total load cannot be compared to the rated load.","If the combined weight is within the crane's five-ton rated load, the lift is compliant with the supplied record on rated load; if the combined weight exceeds five tons, the crane is being loaded beyond its rated load, which the supplied record prohibits except for test purposes, and the lift would need to stop or be re-planned with different equipment.","haz-2","UNRESOLVED","CLARIFICATION_LINK_UNRESOLVED","Two fitters are hand-steering a suspended fabrication rigged through a spreader beam and four chain slings, which is a direct human exposure to a suspended load beyond the crane and rigging hazards already identified. The supplied record on rated load requires that the total load — fabrication plus spreader beam and slings — not exceed the crane's marked five-ton rating, but the observation records only the crane marking and not the actual combined weight, leaving compliance with that record unresolved and blocking a determination on whether the lift is within rated capacity. Because the fitters are stationed at the load during travel, an overload-driven rigging failure would expose them directly, making the missing weight information decision-critical rather than a documentation nicety.",""
"TR-D1","D_ACTIVE_CANDIDATE_DIFFERENT_AFFECTED_DECISION","NONE","REQUIRED","false","whether the bowser has been emptied and its tank and vapour space rendered safe before hot work on the frame","REQUIRED_CONTROL","Has the bowser's tank and vapour space been emptied, purged, or otherwise verified free of flammable vapour before this hot work began?","HAZARD_EXISTENCE","SURVIVED","Whether the bowser tank/vapour space has been rendered safe (emptied, purged, inerted, or tested) prior to cutting is not stated.","If the tank and vapour space have been rendered inert or vapour-free, the hot work presents a fire/ignition risk only from external residue and surrounding combustibles; if they have not, the sparks landing at the fill point create a credible flammable-atmosphere ignition and explosion risk to the vessel itself, which would require immediate work stoppage rather than just adding fire-watch and permit controls.","fire-explosion-vapor-space","INSUFFICIENT_EVIDENCE","","An angle grinder is producing sparks directly at the fill point of a fuel bowser with no fire watch, extinguisher, or hot work permit present — a clear active hot work ignition hazard. The observation explicitly leaves open whether the tank and vapour space have been rendered safe, so it cannot be determined whether flammable vapour is present to be ignited by those sparks; this is the single decision-critical gap, since the answer determines whether this is an immediate stop-work explosion risk or a lesser fire-watch/permit compliance issue. The combination of an active ignition source with an unconfirmed flammable vapour space is a cross-hazard interaction that materially worsens the outcome beyond either fact alone.",""
"TR-E1","E_EXISTENCE_CONTRADICTION_OPPORTUNITY","NONE","REQUIRED","true","whether the chamber atmosphere was tested before this entry and is being monitored while the man is down there","REQUIRED_CONTROL","(none emitted)","","","","","","","","An operative is currently working inside a three-metre-deep sewer chamber connected to the foul sewer, accessed only by an unsecured ladder with no tripod, winch, gas monitor, or rescue harness in use — this is an active permit-required confined space entry with an unmonitored atmospheric hazard, in addition to the fall hazard already identified. The combination is materially worse because the same missing retrieval equipment that would allow non-entry rescue from a fall is also the only thing that could extract an incapacitated worker if the unmonitored sewer atmosphere overcomes him. No regulatory record was supplied, so no citation or compliance determination is made; the observation itself establishes both the confined space and atmospheric exposures as present right now with no controls in place.",""
