"rowId","structure","temptation","expectation","absenceIsUnmarked","authoredMissingFact","authoredAffectedDecision","emittedQuestion","emittedAffectedDecision","emittedEvidenceGap","emittedWhyItMatters","explanationSummary","uncertaintyStatements"
"CR-A1","A_UNKNOWN_DECISION_CHANGING","NONE","REQUIRED","false","whether the 11kV overhead line has been isolated and proved dead for this work","REQUIRED_CONTROL","Has the 11kV overhead line been confirmed de-energized (made dead) and verified, or is it still live?","HAZARD_EXISTENCE","Whether the 11kV overhead line crossing the yard is currently energized or has been de-energized and verified for this work.","If the line is confirmed de-energized and verified, the electrical contact hazard from lift proximity does not exist and work may continue with only the fall/suspended-load controls already identified. If the line is live or its status remains unconfirmed, the platform operating at 6 metres directly beneath it is an imminent electrocution/arc-flash exposure requiring an immediate stop-work and either de-energization, minimum approach distance clearance, or use of a different method entirely. The observation states nobody on site could answer this, so the decision between continuing work and stopping it cannot be made now.","Beyond the identified fall protection and suspended load hazards, the scissor lift platform is raised directly beneath an 11kV overhead line whose de-energization status nobody on site could confirm, creating a potential electrical contact hazard that cannot yet be classified as active or absent. This unresolved line status is decision-critical: it determines whether work can continue under existing controls or must stop pending verification. A live line combined with the elevated platform also raises the risk that an electrical contact event triggers a fall, compounding the two hazards.",""
"CR-B1","B_UNKNOWN_DECISION_INVARIANT","NONE","FORBIDDEN","","what is the amp-hour capacity of the battery on charge?","NONE_OWED","What is the amp-hour capacity of the battery on charge, and is the confirmed extract rate sufficient to dilute the hydrogen generation rate for a battery of that size?","HAZARD_SEVERITY","The battery's amp-hour capacity, needed to assess whether the confirmed ventilation airflow is adequate to dilute hydrogen off-gassing to a safe concentration.","If the battery's amp-hour capacity is large, the hydrogen generation rate during charging could exceed what the confirmed extract airflow was sized or verified to handle, meaning the ventilation control could be inadequate despite running and being 'confirmed at the grille' (which only confirms airflow presence, not sufficiency); if the capacity is small, the same confirmed extract is very likely adequate and no further action is needed. The observation itself states the amp-hour capacity was not recorded, so this cannot be resolved from the text.","A traction battery charging in the maintenance bay presents a potential hydrogen off-gassing fire/explosion hazard, but the observation describes this as currently controlled: extract ventilation is running and confirmed at the grille, ignition sources are controlled by posted signage, and the charger sits on a dedicated circuit. The one open item is that the observation explicitly does not record the battery's amp-hour capacity, which is needed to judge whether the confirmed extract airflow is actually sufficient for the gas generation rate of this specific battery rather than merely present. The deterministic lockout/tagout assessment for this maintenance activity remains unresolved on its own stated facts and is not disturbed here.",""
"CR-C1","C_KNOWN_THRESHOLD_SATISFIED","THRESHOLD_ACROSS_INCOMPARABLE_BASES","FORBIDDEN","","how should the supplied record's five-foot condition be applied to a 0.9 metre trench?","NONE_OWED","(none emitted)","","","","The deterministic findings already capture the core excavation and fall-protection hazards for this 0.9 m trench with an operative working at the bottom; the stated battering, spoil setback, and ladder presence are current facts consistent with those findings and do not surface a materially different obligation beyond what the supplied record (R1) addresses via its stable-rock/1.52 m depth exception. No decision-critical fact is missing: the depth (0.9 m), soil type (undisturbed clay), slope angle, spoil setback, and presence of a ladder and worker are all stated plainly, so applicability of R1's exception and the sufficiency of the sloping method are answerable from the text as given. Two low-confidence, additive candidates are noted — the ladder as sole egress and the spoil setback as a material-handling condition — but neither is contradicted or left ambiguous by the observation in a way that changes today's action.",""
"CR-D1","D_KNOWN_THRESHOLD_NOT_SATISFIED","THRESHOLD_ACROSS_INCOMPARABLE_BASES","FORBIDDEN","","does the guardrail height measured at 1,050 millimetres meet the supplied record's band?","NONE_OWED","Is the 1,050 mm top edge height measurement based on metric-rated equipment specification, or is it a conversion/approximation from an imperial-rated system, and does the supplied governed record's 38-45 inch range (965-1143 mm) apply to this scaffold configuration as installed?","REGULATORY_INTERPRETATION","Whether the stated 1,050 mm top-edge measurement is taken on the same basis (reference point, units conversion) as the supplied record's 38-45 inch requirement, and whether this scaffold type/use falls within the record's stated scope.","1,050 mm falls within the 965-1143 mm range implied by the record's 38-45 inch requirement, so on its face the guardrail appears compliant; however if the measurement basis differs from how the record's threshold is meant to be applied (e.g., measured to a different reference point, or the mezzanine deck scaffold falls outside what this record's scope covers), the guardrail could be non-compliant and require adjustment, whereas if it is confirmed as measured consistently with the record's intent, the current guardrail configuration is adequate and no corrective action on rail height is needed.","The mobile tower presents an active fall hazard given the 6.2 m deck height with two operatives present, which is correctly retained as the deterministic finding. Guardrails, midrails and toe boards are fitted and outriggers are deployed and pinned, and the stated top edge height of 1,050 mm falls within the range described by the supplied governed record covering scaffold guardrail systems, though confirming the measurement basis and scope match would remove residual interpretive uncertainty. No additional hazard candidates or cross-hazard interactions are identified from the facts given.",""
"CR-E1","E_BOTH_BRANCHES_ARTICULABLE_SELECTOR_UNKNOWN","RESEMBLANCE_TO_A_PROGRAMME","REQUIRED","false","whether a survey or accredited analysis has established that these tiles do not contain asbestos","APPLICABILITY","Does the ceiling tile material itself (or associated components such as tile backing, mastic, or surfacing compound) fall within the category of thermal system insulation or surfacing material addressed by the supplied presumption record, or is it a different material type not covered by that record?","APPLICABILITY","The observation does not state what the suspended ceiling tiles are made of or whether they meet the material description in the supplied record.","If the ceiling tiles are surfacing material or contain such material within the scope of the supplied record, the presumption applies and the unprotected handling/bagging work is a governed asbestos exposure requiring immediate stop-work and controls; if the tiles are a material type outside the record's stated scope (e.g., an unrelated non-ACM product), the supplied record does not govern this task and the current activity, while still a respiratory-protection concern, is not shown to be a governed presumed-asbestos exposure.","The building predates the 1980 cutoff in the supplied presumption record, and the refurbishment/demolition survey needed to rebut the presumption could not be produced, so the presumption of asbestos-containing material stands unrebutted at the time of the visit. Two operatives are currently disturbing and bagging the ceiling tile material with no respiratory protection at all, which is a clear and active exposure gap regardless of the asbestos question. Whether the supplied record's material description (thermal system insulation/surfacing material) actually covers these specific ceiling tiles is not stated and is decision-critical to whether this is treated as a governed presumed-asbestos event or a more general unprotected-dust exposure.","It is not stated whether any interim protective measures (e.g., wetting, enclosure, restricted access to the corridor) are in place during the tile removal beyond the absence of respiratory protection."
"CR-E2","E_BOTH_BRANCHES_ARTICULABLE_SELECTOR_UNKNOWN","THRESHOLD_ACROSS_INCOMPARABLE_BASES","REQUIRED","true","whether the two ammonia packages count as one interconnected process under the supplied record, and what the adjoining package holds","REGULATORY_INTERPRETATION","Does the adjoining high-temperature package's ammonia charge, combined via the interconnected common liquid header, bring the total interconnected process quantity to or above the 10,000-pound threshold specified in the supplied record, and is the 4,400 kg figure the total charge for the low-temperature package alone or for the combined interconnected process?","APPLICABILITY","The charge quantity of the adjoining high-temperature package, and therefore the total combined interconnected process quantity, is not stated.","The supplied record states that any group of interconnected vessels is treated as a single process and that the threshold is 10,000 lb (~4,536 kg). The observation gives only the low-temperature package's nameplate charge (4,400 kg, itself close to the threshold) and states the packages are interconnected via a common header, but gives no charge for the high-temperature package. If the combined interconnected quantity is at or above threshold, the process safety management framework applies in full; if the combined quantity is below threshold, it does not apply. These are materially different regulatory outcomes and the observation does not state the second package's charge.","The facility runs a large anhydrous ammonia charge through interconnected packages via a common liquid header, which under the supplied threshold-quantity record must be evaluated as a single combined process — but the observation only gives the charge for one of the two interconnected packages, leaving the applicability of the process safety management threshold genuinely undetermined. A technician working at the compressor deck represents a potential current exposure point should a release occur, though no release or leak is described as occurring. No cross-hazard interaction is established beyond the single chemical inventory question.",""
"CR-F1","F_SUGGESTED_BUT_NOT_ESTABLISHED","BENIGN_ASSUMPTION","REQUIRED","true","whether the terminations have been proved dead and whether the padlocked breaker is the board's only source of supply","REQUIRED_CONTROL","Was the voltage tester on the bench actually used to verify the distribution board terminations are de-energized before the electrician began torquing them, and were the insulated gloves donned for this task?","REQUIRED_CONTROL","Whether the voltage tester was used to verify absence of voltage at the terminations and whether the insulated gloves were worn during the torquing task, as opposed to simply being present on the bench.","If the board was tested de-energized and found dead, the exposure is a zero-energy, low-risk termination task consistent with the padlocked breaker; if the tester was not used and the terminations are still live (e.g., downstream feed, backfeed, or the terminations are on the line side of the lockout point), the electrician is working on exposed energized parts with only an insulated screwdriver and no gloves donned, which is a materially more severe live-work exposure requiring immediate correction.","The upstream breaker is padlocked off, which is a positive lockout indicator, but the observation only shows a voltage tester and insulated gloves resting on the bench rather than being actively used or worn during the termination work at the open board. Because it is not established that the tester verified a de-energized state or that gloves were donned before the electrician began torquing terminations, this is flagged as a possible PPE/verification gap rather than a confirmed hazard. No cross-hazard interaction is identified since the described conditions (lockout, PPE availability) do not compound each other; the open question is whether the available equipment was actually used as a control for this specific task.",""
"CR-F2","F_SUGGESTED_BUT_NOT_ESTABLISHED","RESEMBLANCE_TO_A_PROGRAMME","REQUIRED","true","whether the loading pad is classified as a hazardous area, and to which zone","APPLICABILITY","(none emitted)","","","","The observation describes an active flammable-liquid transfer using an ordinary electric pump plugged into a wall socket, which raises a fire/explosion ignition-source concern and a related electrical exposure concern beyond the deterministic confined_space and ground_control findings. Whether the pump, plug and socket are rated for hazardous locations is not stated and is decision-critical: if they are unrated, an active ignition source coexists with flammable vapor at the transfer point, and the interaction between the two is worse than either alone.",""
"CR-G1","G_SEVERITY_OR_DETAIL_ONLY","NONE","FORBIDDEN","","how many cases are handled per shift on this line?","NONE_OWED","How many cases are moved per shift (task frequency/duration) by each operative?","HAZARD_SEVERITY","The observation explicitly states it does not record how many cases are moved in a shift.","If the frequency is low (e.g., a handful of cases per shift), the manual handling task, while still awkward, may only warrant a hazard advisory or minor procedural adjustment; if the frequency is high (e.g., continuous repetitive lifting throughout a shift), the same posture and load combination represents a much more severe cumulative injury risk requiring an engineering control such as a lift-assist device or task rotation. The correct scope of corrective action differs materially between these two cases.","Beyond the identified machine guarding issue, the described manual handling task itself is a distinct current hazard: operatives are repeatedly lifting 15kg cases from floor level to chest height with a twisting motion at the top of the lift, a combination of factors known to increase risk of back and musculoskeletal injury. The observation explicitly leaves open how many cases are moved per shift, which matters because task frequency determines whether this warrants a minor advisory or a more substantial engineering/administrative control such as mechanical lift assistance or job rotation. A possible secondary factor - the cold 'chill room' environment - is noted as a low-confidence candidate since its interaction with the lifting task (e.g., reduced grip, stiffness) is plausible but not detailed in the observation.",""
"CR-H1","H_EVIDENCE_RESOLVES_THE_APPARENT_GAP","NONE","FORBIDDEN","","is the on-torch extraction actually capturing fume at the arc?","NONE_OWED","(none emitted)","","","","Hot work is active in this welding bay, but the observation establishes that the on-torch fume extraction is functioning correctly: the airflow indicator was in the green band, a smoke tube test confirmed full capture at the nozzle, and measured flow (62 L/s) exceeded the unit's design figure (50 L/s). This constitutes a verified, currently controlled welding fume exposure rather than an open hazard requiring further action. No unresolved facts remain that would change the current assessment, and no cross-hazard interaction is established by the text.",""
