"rowId","form","hazardEstablished","expectation","authoredMissingFact","expectedAffectedDecision","acceptableSelectors","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","candidateStates","candidateEvidenceBasis","candidateReasoning","explanationSummary","uncertaintyStatements"
"HS-A1","NOT_VISIBLE","true","REQUIRED","whether the grain dryer burner has a functioning flame-failure device","REQUIRED_CONTROL","whether a flame-failure device is fitted to the burner and is functioning  ||  whether the burner has been proved to shut off on loss of flame","(none emitted)","","","","","","","","x=ACTIVE","[x] The observation states grain dust has accumulated on walkway surfaces and motor housings, which are horizontal ledges near equipment.","[x] Accumulated combustible grain dust on horizontal surfaces near a running dryer and motor housings creates a combustible dust hazard: dust layers near heat sources or electrical equipment can ignite or be dispersed into an explosible cloud, and motor housings are a potential ignition source (overheating, bearing failure).","summary placis a a placeholder",""
"HS-B1","RETAINED_CANDIDATE_SHAPED","true","REQUIRED","whether the line set is currently balanced against the weight already loaded on the cradle","REQUIRED_CONTROL","whether the line set is balanced between the cradle and the bar  ||  whether the bar stage-side is loaded to match the counterweights being added  ||  whether the deck below the bar is kept clear while the set is being loaded","Is the engaged rope lock rated and confirmed to hold the line set securely while additional counterweight is actively being added to the cradle, or is the line otherwise secured (e.g., by the operator maintaining hand tension) during the loading operation?","REQUIRED_CONTROL","SURVIVED","Whether the rope lock or another control is sufficient to prevent line movement while counterweights are actively added to the cradle","If the rope lock alone is being relied upon while weight is added and it can slip or the line can run during loading, the suspended scenery bar could drop onto the stage crew working below it right now; if the loading procedure keeps the line under positive control throughout (e.g., an operator tending the rope continuously, or loading performed only with the bar landed or otherwise secured), the drop exposure to the crew below is not live. This changes whether a stop-work/repositioning of the crew below is warranted immediately.","counterweight_loading_imbalance","ACTIVE","","suspended_scenery_bar=ACTIVE | counterweight_loading_imbalance=ACTIVE | gallery_fall_exposure=INSUFFICIENT_EVIDENCE","[suspended_scenery_bar] The observation states a scenery bar is suspended on the line set and that two stage crew are currently working on the deck directly below that bar.  ||  [counterweight_loading_imbalance] The observation states counterweights are actively being loaded onto the cradle on the same line set that currently carries the suspended scenery bar.  ||  [gallery_fall_exposure] The observation states the technician is working from the gallery at the level of the cradle, but does not describe the gallery's edge protection or any fall-arrest equipment.","[suspended_scenery_bar] A suspended scenery bar is a load held aloft by a counterweight line set. With two stage crew presently working on the deck below it, any loss of balance in the system (including from the counterweight loading happening on the same line at the same time) creates a struck-by/falling-load exposure to workers directly beneath the suspended load.  ||  [counterweight_loading_imbalance] Adding counterweight mass to a cradle on a line that is presently carrying a suspended load changes the balance of that line set while the load is aloft. This is an active material-handling operation directly affecting a suspended load's stability.  ||  [gallery_fall_exposure] Loading galleries in fly towers are typically elevated open platforms; working at such a location while handling loads can carry a fall exposure. The observation does not describe guardrails, fall protection, or the gallery configuration, so whether a fall hazard is present cannot be determined from the text alone.","The observation describes an active fly-tower operation where counterweights are being loaded onto a cradle on the same line set that currently suspends a scenery bar directly over two stage crew working on the deck below, with nobody stationed at the pin rail to monitor or control the line. This combination of live load-balancing work and unprotected occupancy beneath the suspended load is a struck-by/falling-load exposure that the deterministic engine did not capture. A gallery fall-exposure question is raised only at low confidence since the text does not describe the gallery's edge protection, and a blocking question is raised about whether the rope lock or another control adequately secures the line during active counterweight loading, since the answer determines whether the crew below face live risk right now.",""
"HS-C1","OBSERVER_CANNOT_DETERMINE","true","REQUIRED","what the ferromagnetic screening recorded for this patient","REQUIRED_CONTROL","what the ferromagnetic screening questionnaire recorded for this patient  ||  whether this patient has been screened for ferromagnetic implants by any means available now","Has the ferromagnetic/implant screening content for this patient been verified by any means (e.g. direct verbal screening by suite staff, phone confirmation with the ward, or a duplicate form) before the patient proceeds past the scanner room door?","REQUIRED_CONTROL","SURVIVED","Whether ferromagnetic screening has been completed and confirmed for this specific patient by any means, given the original questionnaire has not arrived and nobody in the suite can confirm its content.","If screening has been independently verified as clear, the patient can safely proceed into the scanner room as planned. If it has not been verified and the patient's ferromagnetic status is genuinely unknown, the patient must not be taken past the door/into the bore until screening is completed, since an unscreened patient could be carrying a ferromagnetic implant or object that poses a direct projectile or implant-interaction hazard in the MRI field.","cand-1","ACTIVE","CANDIDATE_MALFORMED","cand-1=ACTIVE | cand-2=UNKNOWN","[cand-1] The observation states the screening questionnaire has not arrived with the notes and that nobody in the suite can confirm what it recorded, meaning the required screening procedure step (verification of ferromagnetic screening content by suite staff) has not been completed for this patient.  ||  [cand-2] ","[cand-1] MRI suite procedure requires ferromagnetic/implant screening to be confirmed before a patient is brought to the scanner room door. Here the screening record is missing and unconfirmed by the suite itself, so the procedural control that would normally rule out ferromagnetic objects or implants on this patient has not been carried out or verified at this point in the workflow, even though the patient is already positioned at the scanner room door.  ||  [cand-2] ","The deterministic finding confirms the door interlock control is active, but the observation separately establishes that the ferromagnetic screening questionnaire for this patient never arrived and nobody in the suite can confirm what it recorded, leaving the screening procedure step unconfirmed while the patient waits at the scanner room door. This is a procedural/supervisory gap independent of the interlock: the interlock controls door access but does not substitute for confirming the patient carries no ferromagnetic material. Whether an alternative verification has occurred is not stated, and that answer determines whether the patient may proceed to the scanner now.",""
"HS-D1","AGGREGATION_AGAINST_A_RECORD","false","REQUIRED","the aggregate quantity of Class IA liquid present in this fire area, counting every container","REGULATORY_INTERPRETATION","the aggregate quantity of Class IA liquid in this fire area  ||  the number and size of the further containers on the racking","What is the total aggregate quantity (in gallons) of the Class IA solvent-based cleaner present in the dosing room fire area at one time, including all containers on the racking?","REGULATORY_INTERPRETATION","SURVIVED","The total number/volume of containers of the Class IA solvent-based cleaner stored on the racking, and therefore the aggregate quantity of Class IA liquid in this fire area, is not recorded in the observation.","Record R1 caps aggregate Class IA liquid outside an inside storage room or cabinet at 25 gallons per fire area. If the two part-full 25-litre drums plus the unrecorded racked containers total 25 gallons or less, the room is within the record's limit and no over-quantity violation exists; if the aggregate exceeds 25 gallons, the room is in excess of the governed limit and corrective action (removal of excess stock, provision of an inside storage room or cabinet, or subdivision) is required now. The observation explicitly states the number of racked containers was not recorded, so this cannot be determined from the text as given.","C1","ACTIVE","","C1=ACTIVE | C2=ACTIVE","[C1] The observation establishes multiple containers of a Class IA flammable liquid are present in the room, with the total container count on the racking not recorded.  ||  [C2] The observation establishes that chlorine and acid are stored in the same room as the flammable solvent cleaner.","[C1] Class IA solvent-based liquids are highly flammable, and multiple containers (quantity partly unrecorded) are stored outside any inside storage room or storage cabinet, in a compartment shared with a plant room that likely contains ignition sources (pumps, motors, electrical equipment). This creates a fire/explosion hazard from vapor accumulation and potential ignition.  ||  [C2] Chlorine and acid stored in the same fire compartment as a Class IA flammable solvent introduces a potential for incompatible chemical storage; a spill, container failure, or reaction between an oxidizer/acid and a flammable solvent could produce a chemical release or fire escalation. This is a plausible additional hazard given co-location, though the observation does not describe separation or segregation measures.","The dosing room stores multiple containers of a Class IA flammable solvent cleaner outside any inside storage room or cabinet, in a single fire compartment with the plant room, presenting an active fire/explosion hazard; because the observation does not record the number of containers on the racking, the aggregate quantity cannot be checked against the 25-gallon Class IA limit in the supplied governed record, which is a blocking gap. The co-location of this flammable stock with the room's chlorine and acid supply also creates a cross-hazard escalation risk, where a fire could compromise the chemical containers or a chemical incident could trigger ignition, worse than either hazard in isolation.",""
"HS-E1","PRIOR_EVENT","true","REQUIRED","whether the guard interlock was function-tested after the overnight rotor tooth change","REQUIRED_CONTROL","whether the guard interlock was function-tested after the rotor work  ||  whether the rotor was proved to stop when the guard is opened","(none emitted)","","","","","","","","lockout_maintenance_completed=CORRECTED","[lockout_maintenance_completed] The observation states the maintenance activity is complete and the machine has been returned to service, and that the guard door is closed with its interlock in place.","[lockout_maintenance_completed] The maintenance/servicing activity the deterministic engine flagged as UNKNOWN is described as finished, with the machine returned to normal production operation (guard closed, interlock engaged, sawyer working the infeed). There is no stated indication the rotor tooth change is ongoing or that hazardous energy remains uncontrolled now; the machine is currently running as intended, which is the normal, guarded operating state rather than a servicing state.","The machine is currently running in its normal guarded state: the rotor guard door is closed with its interlock in place, and the sawyer is working from the infeed deck without reaching into the throat, so no active machine-guarding exposure is established. The overnight rotor tooth change is described as completed and the machine returned to service, which resolves the servicing/maintenance condition the deterministic engine flagged as UNKNOWN for lockout/tagout; no current fact indicates hazardous energy remains uncontrolled or that the fitter's work was left incomplete.",""
"HS-F1","LIKELY_BUT_UNESTABLISHED","true","REQUIRED","whether the lance has a functioning dead-man or dump-valve control","REQUIRED_CONTROL","whether the lance is fitted with a functioning dead-man or dump-valve control  ||  whether the jet stops when the operative releases the trigger","Is the open section of footpath currently barriered, closed, or otherwise controlled to keep pedestrians out of the zone beneath and adjacent to the hydro-demolition work, or is it fully open with no exclusion measure?","REQUIRED_CONTROL","SURVIVED","The observation states the footpath 'is open to pedestrians at the far end' but does not state whether any barrier, hoarding, signage, or pedestrian diversion/control measure is in place for that open section.","If the footpath is fully open with no exclusion or diversion, pedestrians remain exposed to falling debris and high-pressure water/overspray right now and work should stop or a exclusion zone/spotter must be established immediately; if an exclusion barrier, hoarding or diversion is already in place controlling that end of the footpath, the public exposure is already controlled and no additional control action is needed beyond monitoring.","cand-struck-by-pedestrian","ACTIVE","","cand-struck-by-pedestrian=ACTIVE | cand-noise-exposure=ACTIVE","[cand-struck-by-pedestrian] The text states the footpath under the jetting operation is open to pedestrians at the far end, meaning members of the public can currently be present beneath or near the high-pressure hydro-demolition work.  ||  [cand-noise-exposure] The text states a running engine-driven pump unit is on the deck, and high-pressure lance jetting is in progress, both of which are typically significant noise sources for the operatives on the deck.","[cand-struck-by-pedestrian] High-pressure water jetting and dislodged concrete debris from the soffit above a public footpath create a struck-by/overspray hazard to pedestrians who are stated to currently have access to that footpath. This is a public exposure hazard distinct from the operatives' own fall and hydraulic energy hazards already captured.  ||  [cand-noise-exposure] A running engine plus high-pressure jetting are commonly high-noise activities; the operatives are described as wearing waterproofs, visors and helmets but no hearing protection is mentioned, raising a plausible noise exposure hazard for the two operatives on the deck.","Beyond the deck-level fall and hydraulic energy hazards already established, the observation places an open pedestrian footpath directly beneath high-pressure hydro-demolition work, creating a struck-by/overspray exposure to the public that is not addressed by the existing findings; whether that footpath segment is currently controlled is not stated and is decision-critical to whether work can safely continue as observed. A possible noise exposure from the running pump engine and jetting is also flagged with low confidence pending confirmation. The fall exposure and reactive jet forces on the lance operator compound each other, since kickback at height increases the likelihood and severity of a fall.",""
"HS-G1","SYSTEM_COVERAGE","false","REQUIRED","whether the depot fire strategy was reassessed for the container's position relative to the workshop openings","APPLICABILITY","whether the depot fire strategy was reassessed when the container was installed  ||  what separation the fire strategy requires between such a container and workshop openings","What is the gas detection head's alarm/interlock status (e.g., linked to ventilation shutdown, workshop alarm, or standalone indicator only), and has it been confirmed functional since installation?","REQUIRED_CONTROL","SURVIVED","The observation states a gas detection head is visible inside the door but does not state whether it is commissioned, functional, or linked to any alarm or shutdown system.","If the gas detection system is functional and linked to an active alarm or interlock, the atmospheric/fire risk from off-gassing is actively monitored and mitigated; if it is non-functional, uncommissioned, or a standalone indicator with no alarm linkage, the workshop occupants four metres away would have no warning of a developing hazardous atmosphere or fire precursor, materially changing whether additional interim controls or exclusion measures are needed now.","","","","fire-exp-bess=ACTIVE | fire-strategy-outdated=ACTIVE","[fire-exp-bess] The text establishes the battery energy storage container is positioned roughly four metres from a workshop wall that has a personnel door and window opening onto the yard, placing an occupied building opening in close proximity to the container.  ||  [fire-strategy-outdated] The posted fire strategy diagram reflects the yard layout prior to the container's installation, so it does not depict the container's current presence or position.","[fire-exp-bess] Battery energy storage systems present a thermal runaway / fire and explosion (off-gas deflagration) hazard by their nature. Siting the container only about four metres from a wall containing a personnel door and window means any fire, off-gassing or explosion event at the container has a direct exposure pathway into the workshop through that door and window opening.  ||  [fire-strategy-outdated] An outdated fire strategy document means emergency responders or occupants relying on it would not be aware of the new battery energy storage hazard, its location, ventilation louvres, or gas detection equipment when planning evacuation, muster or firefighting response, undermining emergency response effectiveness for a fire/explosion event at this new installation.","Beyond the deterministic findings, the battery energy storage container's close proximity to a workshop wall opening presents a fire/explosion exposure pathway into the workshop, and the depot's posted fire strategy has not been updated to reflect the container's arrival, which would hamper emergency response. A functional status question is raised about the gas detection head since its commissioning/alarm linkage is not stated, and an interaction is noted between the existing atmospheric hazard and the fire/explosion exposure given the container's proximity to the building opening.",""
"HS-H1","WORST_CASE_TEMPTATION","true","REQUIRED","whether the load was given a cooling hold appropriate to its contents before the door was opened","REQUIRED_CONTROL","whether the load was given a cooling hold before the door was opened  ||  whether this was a liquid cycle requiring a cooling hold  ||  whether the load temperature was checked before the door was opened","(none emitted)","","","","","","","","cand-thermal-residual=ACTIVE | cand-steam-release=INSUFFICIENT_EVIDENCE","[cand-thermal-residual] The observation shows the technician wearing heat-resistant gloves and lab coat while opening the door immediately after a cycle, and states the over-temperature alarm did not sound at any point during the cycle observed.  ||  [cand-steam-release] The gauge reading shown on the front panel indicates zero chamber pressure at the moment observed.","[cand-thermal-residual] Autoclave loads and chamber surfaces remain very hot immediately after a cycle even when pressure has returned to zero; the technician's use of heat-resistant gloves confirms this residual thermal hazard is present and being actively managed. The fact that the over-temp alarm never sounded during the cycle is a current gap in the alarm's verifiable function at the moment of highest thermal risk (door opening), even though the PPE in use is mitigating exposure now.  ||  [cand-steam-release] A zero gauge reading is the normal indicator that it is safe to open an autoclave, but gauge malfunction or residual trapped steam pockets in a load are a recognized latent hazard in autoclave operation; the observation does not state the gauge was verified against an independent measure or that the load itself was checked for trapped superheated liquids/steam.","Beyond the deterministic interlock and suspended-load findings, the technician's use of heat-resistant gloves while opening the door immediately after a cycle points to a residual thermal burn hazard from the hot chamber and load, which is being actively mitigated by PPE. A latent pressure-systems concern (trapped steam or gauge reliability) is noted at low confidence since the zero reading alone does not confirm the absence of residual pressure in the load itself. The interlock release and the thermal hazard interact at the moment of door opening, since the interlock's release is what first exposes the technician to the hot chamber contents.","It is not established whether the zero pressure gauge reading was cross-verified against an independent indicator or whether residual steam pockets could remain trapped within the load itself."
"HS-J1","EXPLICITLY_PRESENT","false","FORBIDDEN","is the breathing air actually clean, and has the booth extract been quantitatively tested rather than just indicated?","NONE_OWED","","(none emitted)","","","","","","","","resp-1=CONTROLLED | chem-1=CONTROLLED | fire-1=INSUFFICIENT_EVIDENCE","[resp-1] The sprayer is wearing supplied-air respiratory protection and the breathing-air filter change record shows a signature for the current month.  ||  [chem-1] Spray painting inherently involves atomized coating materials that could contact skin or be inhaled if controls failed, though the observation describes the extraction and respiratory controls functioning.  ||  [fire-1] The observation describes the booth extract running and an airflow interlock preventing gun operation without fan airflow, which is consistent with control of flammable vapour/overspray accumulation, but does not state anything about ignition sources, bonding/grounding, or booth electrical classification.","[resp-1] Spray painting generates inhalation exposure to solvent/paint vapours and overspray; this is being controlled by supplied-air respiratory protection with a documented, current filter change record, indicating an actively maintained control rather than an uncontrolled hazard.  ||  [chem-1] Paint spraying involves chemical solvents/coatings that pose inhalation and skin contact hazards; the observation describes the extract running in the green band and the operator wearing air-fed respiratory protection, indicating the exposure pathway is currently controlled rather than unmitigated.  ||  [fire-1] Paint spray booths handling flammable coatings carry a potential fire/explosion hazard from solvent vapour accumulation if ventilation fails; the interlock and functioning extraction described suggest this pathway is being managed, but no information is given about ignition source control, so existence of a distinct uncontrolled fire hazard cannot be confirmed or ruled out from this observation alone.","The observation describes a spray booth operating with functioning extraction confirmed in the green band, a demonstrated fan-gun interlock, and a sprayer using air-fed respiratory protection with a current, signed filter change record — all controls appear active and verified at the time of observation. This supports the deterministic interlock finding and additionally suggests the related respiratory and chemical inhalation exposure pathways are currently controlled rather than open hazards. No fact is missing that would change today's assessment, so no clarification is raised.","The observation does not describe ignition source controls (e.g., bonding, electrical classification) within the booth, but since ventilation and interlock controls are functioning and no flammable vapour accumulation or ignition event is indicated, this does not establish a current fire/explosion hazard requiring a decision-critical question."
"HS-K1","EXPLICITLY_ABSENT","true","FORBIDDEN","could a light or viewing panel be fitted, and what blast media is in use?","NONE_OWED","","(none emitted)","","","","","","","","","","","placeholder",""
"HS-L1","TRUE_DETERMINISTIC_DERIVATION","false","FORBIDDEN","has the lift been locked out and tagged, and is the counterweight secured against movement?","NONE_OWED","","(none emitted)","","","","","","","","loto-traction-sheave=CONTROLLED | suspended-load-counterweight-car=CONTROLLED","[loto-traction-sheave] The observation states the isolator is off, padlocked with the engineer's own lock, and he alone holds the key, which establishes single-worker exclusive lockout of the electrical supply to the machine.  ||  [suspended-load-counterweight-car] The observation states the counterweight is physically chocked with a manufacturer's pin that was seen in place, and the car is resting on fully compressed buffers with slack ropes, which together describe both suspended masses as mechanically supported rather than hanging on the ropes.","[loto-traction-sheave] Working on the traction sheave requires isolation of the drive machine from electrical energy. The described lock-out with exclusive key control by the engineer performing the work is a properly applied personal lockout, controlling the electrical hazard.  ||  [suspended-load-counterweight-car] A lift car and counterweight are suspended loads connected by ropes over a traction sheave; work on the sheave exposes the engineer to a struck-by/crushing hazard if either mass were to move or the ropes came under tension unexpectedly. The stated chocking of the counterweight and the car resting on compressed buffers with slack ropes are the specific current facts that control this hazard rather than merely being present.","The engineer working on the traction sheave has applied a personal lockout to the machine-room isolator, and the two suspended masses connected over that sheave — the car and the counterweight — are independently controlled: the car rests on fully compressed buffers with slack ropes and the counterweight is chocked with a manufacturer's pin. Because electrical lockout alone would not stop gravity-driven movement of the ropes/sheave, the mechanical chocking and buffer-resting are the specific facts that make this combination of controls adequate, which is worth noting as a cross-hazard interaction. No decision-critical facts are missing from what is described.",""
"HS-M1","SETTLED_THRESHOLD","false","FORBIDDEN","were the readings taken close enough to the entry, and is 2 percent of the lower flammable limit really safe in a digester?","NONE_OWED","","Was the internal atmosphere of the sludge holding tank tested for toxic air contaminants (such as hydrogen sulfide) in addition to oxygen and methane LFL, and if so what were the readings?","REQUIRED_CONTROL","SURVIVED","Whether toxic air contaminant testing (e.g., for hydrogen sulfide) was performed on the sludge holding tank atmosphere before entry, and its result.","If toxic contaminant testing was performed and readings were within acceptable limits, the atmospheric testing requirement in the supplied record is fully satisfied and entry may proceed as monitored. If toxic contaminant testing was not performed or is unknown, the space has not been fully tested per the supplied record's requirement, and entry should not proceed until that testing is completed — a materially different outcome (proceed vs. halt entry pending testing).","c-toxic-testing","INSUFFICIENT_EVIDENCE","","c-toxic-testing=INSUFFICIENT_EVIDENCE","[c-toxic-testing] The observation states oxygen and methane LFL readings were recorded, but does not state that any toxic air contaminant (e.g., hydrogen sulfide) reading was taken or recorded for this sludge holding tank entry.","[c-toxic-testing] A sludge holding tank at an anaerobic digestion plant is a recognized source of hydrogen sulfide and other toxic gases in addition to methane. R1 requires testing for potential toxic air contaminants in addition to oxygen and flammable gas, but the observation only reports oxygen and LFL methane results, leaving the toxic contaminant testing status unaddressed.","The confined space entry into the sludge holding tank is confirmed with oxygen and methane LFL readings within the acceptable range set by the supplied atmospheric testing record, calibration is current, and continuous monitoring is running on the entrant — this portion of the testing requirement is satisfied. However, the record also requires testing for potential toxic air contaminants, and the observation does not report any such reading despite the tank being a sludge/anaerobic digestion source likely to generate hydrogen sulfide or similar gases; this gap should be resolved before treating the pre-entry testing as complete.",""
"HS-N1","DECISION_INVARIANT_UNKNOWN","false","FORBIDDEN","how many tyres does this fitter change in a shift, and does the frequency warrant a different control?","NONE_OWED","","(none emitted)","","","","","","","","split_rim_restraint=CONTROLLED","[split_rim_restraint] The observation states the split-rim wheel is being inflated within a bolted-down restraint cage and the fitter is positioned outside the cage with the airline extended in, rather than standing over the wheel.","[split_rim_restraint] Split-rim wheel inflation carries a well-known explosive separation hazard if the rim locking ring is not properly seated; the observation describes the recognized control (restraint cage, operator positioned outside and to one side) being used as intended, so the hazard is present in the task but is currently controlled by the stated positioning and caging.","The task involves inflating a split-rim commercial truck tyre, a task with a recognized violent-separation hazard, but the observation describes the recognized controls in use: a bolted restraint cage fully containing the wheel, and the fitter positioned outside the cage to one side using an airline extension rather than standing over the assembly. No gap in these controls, and no other person in the exposure zone, is reported. No other hazard family (mobile equipment, noise, confined space) is supported by the text.",""
