itemId,rowId,measure,outcome
GAUNTLET-005::REG::expertExplanation.summary,GAUNTLET-005,M07,UNGROUNDED
GAUNTLET-005::REG::expertExplanation.summary,GAUNTLET-005,M06,NOT_AN_OBLIGATION
GAUNTLET-007::REG::decisionCriticalClarifications[1].whyItMatters,GAUNTLET-007,M07,UNGROUNDED
GAUNTLET-007::REG::decisionCriticalClarifications[1].whyItMatters,GAUNTLET-007,M06,OBLIGATION_UNSUPPORTED
GAUNTLET-054::REG::expertExplanation.summary,GAUNTLET-054,M07,UNGROUNDED
GAUNTLET-054::REG::expertExplanation.summary,GAUNTLET-054,M06,NOT_AN_OBLIGATION
POPA-A-16::REG::decisionCriticalClarifications[0].question,POPA-A-16,M07,UNGROUNDED
POPA-A-16::REG::decisionCriticalClarifications[0].question,POPA-A-16,M06,NOT_AN_OBLIGATION
POPA-A-24::REG::expertExplanation.summary,POPA-A-24,M07,UNGROUNDED
POPA-A-24::REG::expertExplanation.summary,POPA-A-24,M06,NOT_AN_OBLIGATION
AUG-01::REG::expertHazardCandidates[0].evidenceBasis,AUG-01,M07,UNGROUNDED
AUG-01::REG::expertHazardCandidates[0].evidenceBasis,AUG-01,M06,NOT_AN_OBLIGATION
AUG-05::REG::decisionCriticalClarifications[2].whyItMatters,AUG-05,M07,UNGROUNDED
AUG-05::REG::decisionCriticalClarifications[2].whyItMatters,AUG-05,M06,OBLIGATION_UNSUPPORTED
SEM-15::REG::decisionCriticalClarifications[0].whyItMatters,SEM-15,M07,UNGROUNDED
SEM-15::REG::decisionCriticalClarifications[0].whyItMatters,SEM-15,M06,EXCLUDED_NO_RECORD_ROW
SRC-MSHA-057::REG::decisionCriticalClarifications[2].whyItMatters,SRC-MSHA-057,M07,UNGROUNDED
SRC-MSHA-057::REG::decisionCriticalClarifications[2].whyItMatters,SRC-MSHA-057,M06,EXCLUDED_NO_RECORD_ROW
GAUNTLET-002::CLR::clar-energized,GAUNTLET-002,M09,NO_GAP
GAUNTLET-002::CLR::clar-exposure,GAUNTLET-002,M09,NO_GAP
GAUNTLET-002::CLR::clar-location,GAUNTLET-002,M09,NO_GAP
GAUNTLET-004::CLR::clar-employee-exposure,GAUNTLET-004,M09,NO_GAP
GAUNTLET-004::CLR::clar-interim-controls,GAUNTLET-004,M09,NO_GAP
GAUNTLET-004::CLR::clar-duration,GAUNTLET-004,M09,NO_GAP
GAUNTLET-005::CLR::clar-1,GAUNTLET-005,M09,NO_GAP
GAUNTLET-005::CLR::clar-2,GAUNTLET-005,M09,NO_GAP
GAUNTLET-005::CLR::clar-3,GAUNTLET-005,M09,NO_GAP
GAUNTLET-005::CLR::clar-4,GAUNTLET-005,M09,NO_GAP
GAUNTLET-007::CLR::clar-attendant,GAUNTLET-007,M09,NO_GAP
GAUNTLET-007::CLR::clar-permit,GAUNTLET-007,M09,NO_GAP
GAUNTLET-007::CLR::clar-rescue,GAUNTLET-007,M09,NO_GAP
GAUNTLET-007::CLR::clar-connected-equipment,GAUNTLET-007,M09,NO_GAP
GAUNTLET-015::CLR::clar-1,GAUNTLET-015,M09,NO_GAP
GAUNTLET-015::CLR::clar-2,GAUNTLET-015,M09,NO_GAP
GAUNTLET-015::CLR::clar-3,GAUNTLET-015,M09,NO_GAP
GAUNTLET-019::CLR::clar-ladder-inuse,GAUNTLET-019,M09,NO_GAP
GAUNTLET-019::CLR::clar-rung-location,GAUNTLET-019,M09,NO_GAP
GAUNTLET-019::CLR::clar-ladder-angle-securing,GAUNTLET-019,M09,NO_GAP
GAUNTLET-019::CLR::clar-worker-use,GAUNTLET-019,M09,NO_GAP
GAUNTLET-022::CLR::clar-1,GAUNTLET-022,M09,NO_GAP
GAUNTLET-022::CLR::clar-2,GAUNTLET-022,M09,NO_GAP
GAUNTLET-022::CLR::clar-3,GAUNTLET-022,M09,NO_GAP
GAUNTLET-023::CLR::cq-1,GAUNTLET-023,M09,NO_GAP
GAUNTLET-023::CLR::cq-2,GAUNTLET-023,M09,NO_GAP
GAUNTLET-023::CLR::cq-3,GAUNTLET-023,M09,NO_GAP
GAUNTLET-023::CLR::cq-4,GAUNTLET-023,M09,NO_GAP
GAUNTLET-032::CLR::clar-access-frequency,GAUNTLET-032,M09,NO_GAP
GAUNTLET-032::CLR::clar-interim-controls,GAUNTLET-032,M09,NO_GAP
GAUNTLET-033::CLR::clar-1,GAUNTLET-033,M09,NO_GAP
