"rowId","form","hazardEstablished","expectation","authoredMissingFact","expectedAffectedDecision","acceptableSelectors","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","candidateStates","candidateEvidenceBasis","candidateReasoning","explanationSummary","uncertaintyStatements"
"HS-A1","NOT_VISIBLE","true","REQUIRED","whether the grain dryer burner has a functioning flame-failure device","REQUIRED_CONTROL","whether a flame-failure device is fitted to the burner and is functioning  ||  whether the burner has been proved to shut off on loss of flame","(none emitted)","","","","","","","CANDIDATE_MALFORMED","placeholder=ACTIVE","[placeholder] ","[placeholder] ","placeholder",""
"HS-B1","RETAINED_CANDIDATE_SHAPED","true","REQUIRED","whether the line set is currently balanced against the weight already loaded on the cradle","REQUIRED_CONTROL","whether the line set is balanced between the cradle and the bar  ||  whether the bar stage-side is loaded to match the counterweights being added  ||  whether the deck below the bar is kept clear while the set is being loaded","Is the rope lock on the line set rated and confirmed to hold the line while the counterweight cradle is actively being loaded and unbalanced, and is anyone stationed at or monitoring the pin rail/lock during this loading operation?","EXPOSURE","SURVIVED","Whether the rope lock is rated/verified secure for this loading operation and whether anyone is positioned to respond at the pin rail during the active counterweight loading is not stated.","If the rope lock is confirmed adequately engaged and someone is able to respond at the pin rail if the load shifts, the crew working below the suspended bar face only the baseline suspended-load exposure; if nobody can operate or verify the lock during active loading and the lock were to slip while the counterweight arm is unbalanced, the bar could fall or move suddenly onto the crew below, requiring an immediate stop-work and repositioning of personnel until loading is complete and the line is confirmed secure.","counterweight_loading_unattended_pinrail","ACTIVE","","suspended_scenery_bar=ACTIVE | counterweight_loading_unattended_pinrail=ACTIVE | gallery_fall_exposure=UNKNOWN","[suspended_scenery_bar] The observation states a scenery bar is suspended on the line set stage-side, and that two stage crew are working on the deck directly below that bar.  ||  [counterweight_loading_unattended_pinrail] The observation states a technician is actively loading counterweights onto the cradle for the line set while the pin rail (where the rope lock lever for that same line is typically operated) has nobody stationed at it.  ||  [gallery_fall_exposure] The observation places the technician working at the loading gallery, an elevated platform, but does not describe any edge protection, guardrail condition, or fall arrest use.","[suspended_scenery_bar] A suspended scenery bar is a load held aloft over an area where two stage crew are currently performing work (moving a rostrum) on the deck below. Any uncontrolled movement or failure of the line set, or of the rope lock holding it, would create a struck-by/falling-load exposure to the crew beneath it, which is present and active now.  ||  [counterweight_loading_unattended_pinrail] Loading counterweights changes the balance of the line set holding the suspended scenery bar. With nobody at the pin rail during this active loading operation, there is no one positioned to operate or monitor the rope lock/lock-off for that line if the load becomes unbalanced during loading, while crew work beneath the suspended bar on the same line.  ||  [gallery_fall_exposure] Loading galleries in fly towers are elevated working platforms; working there while handling counterweights typically involves proximity to an open edge. The observation does not state whether guardrails or fall protection are present, so this is a plausible but unconfirmed hazard.","A scenery bar remains suspended on a line set directly above two stage crew working on the deck, while a technician simultaneously loads counterweights onto that same line's cradle at the gallery with nobody stationed at the pin rail to respond to any load shift. The rope lock is stated as engaged, but its adequacy during the active rebalancing act and the lack of pin rail coverage create a mechanically linked exposure worse than either fact alone, since crew below have no one positioned to react if the lock does not hold under the changing load. A possible fall exposure at the loading gallery is also flagged as a low-confidence, unconfirmed candidate given no information on edge protection there.",""
"HS-C1","OBSERVER_CANNOT_DETERMINE","true","REQUIRED","what the ferromagnetic screening recorded for this patient","REQUIRED_CONTROL","what the ferromagnetic screening questionnaire recorded for this patient  ||  whether this patient has been screened for ferromagnetic implants by any means available now","Has the ferromagnetic screening questionnaire content been obtained or re-verified (e.g., by phone with the ward, or by re-screening the patient directly) before the patient is taken past the door into the scanner room?","REQUIRED_CONTROL","SURVIVED","Whether the ferromagnetic screening information has been independently re-obtained or confirmed by suite staff prior to the patient entering the scanner room.","If the screening result is obtained and confirms no ferromagnetic/electronic contraindications, the patient can proceed into the scanner room safely; if it cannot be obtained or re-verification reveals a contraindication (e.g., an implant, aneurysm clip, or metallic foreign body), the patient must not be taken past the door and alternative screening or imaging must occur. The two answers lead to opposite decisions about whether to proceed with the scan right now.","missing-screening-record","ACTIVE","","missing-screening-record=ACTIVE","[missing-screening-record] The observation states the completed screening questionnaire has not arrived with the notes and that nobody in the suite can confirm what it recorded, meaning the imaging staff currently have no access to the ferromagnetic screening result for this patient.","[missing-screening-record] Ferromagnetic screening is the procedural control that identifies whether a patient carries ferromagnetic or electronic implants/objects that would be hazardous when brought near the MRI's strong magnetic field. With the questionnaire result unavailable and unconfirmed, the suite has no verified basis to know the patient is safe to bring into the scanner room, and the patient is already staged at the scanner room door on the trolley, awaiting entry. This is a current gap in the screening/verification procedure, not a historical or resolved issue.","The deterministic finding confirms the door interlock and controlled-area signage are functioning, but a separate procedural gap exists: the ferromagnetic screening questionnaire for this patient has not arrived and nobody in the suite can confirm its contents, while the patient already waits on the trolley at the scanner room door. This is a current, unresolved verification gap rather than a historical issue, since no re-screening or confirmation is described as having occurred. Whether that screening information is obtained or independently re-verified before the patient passes the door is the single fact that determines whether the scan can proceed safely right now.",""
"HS-D1","AGGREGATION_AGAINST_A_RECORD","false","REQUIRED","the aggregate quantity of Class IA liquid present in this fire area, counting every container","REGULATORY_INTERPRETATION","the aggregate quantity of Class IA liquid in this fire area  ||  the number and size of the further containers on the racking","What is the total aggregate quantity (in gallons/litres) of the Class IA solvent-based cleaner present in the fire area, including all containers on the racking, at one time?","REGULATORY_INTERPRETATION","SURVIVED","The observation states further containers are stored on the racking but does not record how many, so the total aggregate quantity of Class IA liquid in the fire area cannot be calculated.","The supplied record sets a maximum aggregate quantity of Class IA liquid outside an inside storage room or cabinet in one fire area; if the two part-full 25 litre drums plus the unspecified number of racked containers total below that maximum, the storage as described, while still a fire hazard, is not in excess of the governed limit and the required action is different than if the aggregate exceeds it, which would require immediate quantity reduction or provision of an inside storage room/cabinet to come into compliance. Without knowing the count of racked containers the aggregate cannot be computed and the two outcomes are materially different.","c1_flammable_storage","ACTIVE","","c1_flammable_storage=ACTIVE | c2_chlorine_acid_incompatibility=ACTIVE","[c1_flammable_storage] The observation establishes that Class IA flammable liquid is present in multiple containers, with the total count of the additional racked containers not recorded, and that no inside storage room or storage cabinet is present.  ||  [c2_chlorine_acid_incompatibility] The observation establishes that chlorine and acid supplies are held in the same room as the flammable solvent-based cleaner drums.","[c1_flammable_storage] Class IA liquids are highly flammable and volatile. Multiple containers of this material are present outside of an inside storage room or cabinet in a single fire compartment shared with a plant room, which under the supplied record on maximum quantity in an industrial occupancy area is the exact condition that record governs. Whether the aggregate quantity present exceeds the governed threshold cannot be determined because the number of additional containers on the racking is not recorded, but the presence of a Class IA flammable liquid stored outside required enclosure is itself a fire/explosion hazard independent of the exact quantity.  ||  [c2_chlorine_acid_incompatibility] Chlorine and acid are reactive/incompatible chemicals whose accidental mixing (e.g., through a leak or spill) can generate toxic gas. Their co-location in the same dosing room as a Class IA flammable solvent introduces a chemical release/inhalation hazard distinct from the fire hazard already raised, and is not addressed by the supplied flammable-quantity record.","The dosing room stores Class IA flammable solvent in multiple containers outside any inside storage room or cabinet, in a single fire compartment with the plant room, which is exactly the condition the supplied flammable-quantity record addresses; however the aggregate quantity cannot be computed because the number of racked containers is not recorded, so whether the governed maximum is exceeded remains open and is asked as a clarification. The same room also holds the pool's chlorine and acid supply alongside the flammable solvent, and the combination in one shared, enclosed compartment raises the consequence of either a fire or a chemical release beyond either hazard alone.",""
"HS-E1","PRIOR_EVENT","true","REQUIRED","whether the guard interlock was function-tested after the overnight rotor tooth change","REQUIRED_CONTROL","whether the guard interlock was function-tested after the rotor work  ||  whether the rotor was proved to stop when the guard is opened","Was a functional/operational test (e.g., proper operation check, guard and interlock verification) performed on the debarker after the rotor tooth change and before returning it to service this morning?","REQUIRED_CONTROL","SURVIVED","The observation states the machine was returned to service after the rotor tooth change but does not state whether the interlock and guard were functionally tested or verified before restart.","If a post-maintenance functional check was performed and the interlock/guard verified to be working correctly, the current guarding is adequately established as effective; if no such check occurred, the interlock switch's proper function after the overnight rotor tooth change is unverified, and the guard could be non-functional despite appearing closed, meaning the sawyer at the infeed deck could be exposed to an unguarded rotor without a reliable means of detecting it.","","","","lockout_return_to_service=CORRECTED","[lockout_return_to_service] The text states the machine was returned to service after maintenance was completed, indicating the lockout/tagout applicable to that servicing activity was cleared as part of returning the machine to normal operation.","[lockout_return_to_service] This documents the historical maintenance event and its closeout; the machine is now running with the guard closed and interlock in place, so there is no stated current lockout/tagout gap distinct from the deterministic assessment's own unresolved rationale. Raised here only to note the closeout is stated, not to add a new active hazard.","The debarker is currently operating with its rotor guard door closed and interlock switch in place while the sawyer works from the infeed deck without reaching into the throat, which is a controlled current condition and not a hazard as observed. The overnight rotor tooth change and this morning's return to service are historical and stated as completed, so no active lockout/tagout hazard is raised on that history alone, consistent with the deterministic engine's unresolved but not contradicted assessment. One open question remains: whether the guard/interlock was functionally verified after the maintenance work before restart, since that determines whether the currently-observed guarding can be relied upon.",""
"HS-F1","LIKELY_BUT_UNESTABLISHED","true","REQUIRED","whether the lance has a functioning dead-man or dump-valve control","REQUIRED_CONTROL","whether the lance is fitted with a functioning dead-man or dump-valve control  ||  whether the jet stops when the operative releases the trigger","Is the footpath beneath the jetting operation physically closed, barriered, or otherwise excluded to pedestrians, or does it remain open to public access during the work?","REQUIRED_CONTROL","SURVIVED","The observation states the footpath 'is open to pedestrians at the far end' but does not state whether any exclusion, barrier, or diversion control has been applied to prevent pedestrian access under the active jetting zone.","If the footpath is actively closed or diverted with barriers/signage/a banksman, the struck-by exposure to the public is controlled and no additional action is needed; if it remains genuinely open as the observation states, work should stop or the path must be closed until an exclusion zone is established, since falling debris and high-pressure discharge could strike passers-by.","cand-struck-by-pedestrian","ACTIVE","","cand-struck-by-pedestrian=ACTIVE | cand-noise-exposure=INSUFFICIENT_EVIDENCE | cand-ppe-inadequate=INSUFFICIENT_EVIDENCE","[cand-struck-by-pedestrian] The text states the footpath under the work area is currently open to pedestrians while high-pressure jetting of the soffit is underway overhead.  ||  [cand-noise-exposure] The text establishes a high-pressure hydro-demolition lance is in use and a running engine-driven pump is present on the deck, both of which are commonly noisy pieces of plant, but no sound level, duration, or hearing protection is mentioned.  ||  [cand-ppe-inadequate] The text lists waterproofs, visors and helmets as worn PPE but does not mention hearing protection, cut-resistant/impact-rated clothing specific to high-pressure jetting, or fall-arrest harnesses.","[cand-struck-by-pedestrian] High-pressure hydro-demolition debris, dislodged concrete fragments and water discharge falling from a scaffold deck onto a footpath open to pedestrians below creates a struck-by/overhead-falling-object exposure to members of the public passing beneath the work. This is a current condition (pedestrians can walk under it now), not a hypothetical.  ||  [cand-noise-exposure] High-pressure water jetting equipment and a running combustion engine pump in close proximity to two operatives are plausible sources of significant noise exposure, but no measurement or hearing protection status is given, so the existence/severity cannot be confirmed from the text.  ||  [cand-ppe-inadequate] Given the stated high pressure of the lance and the fall exposure already identified, the listed PPE (waterproofs, visors, helmets) may not be the full complement appropriate to hydro-demolition at height; whether additional PPE such as jetting-rated protective wear or fall-arrest equipment is issued is not stated.","Beyond the deterministic fall and hydraulic-energy hazards, the observation establishes a current struck-by exposure to pedestrians on the footpath beneath the jetting operation, which passes under the active work at an open, unexcluded far end. This interacts with the fall hazard at height, since either a loss of balance from jet reaction force or a dropped object/debris could reach the public below, and it is unresolved whether any exclusion control is in place for that footpath. Noise exposure and PPE adequacy for high-pressure jetting are flagged as plausible but unconfirmed hazards given the absence of any stated sound levels, hearing protection, or fall-arrest/jetting-rated protective equipment.",""
"HS-G1","SYSTEM_COVERAGE","false","REQUIRED","whether the depot fire strategy was reassessed for the container's position relative to the workshop openings","APPLICABILITY","whether the depot fire strategy was reassessed when the container was installed  ||  what separation the fire strategy requires between such a container and workshop openings","Does the workshop personnel door/window in the wall facing the battery container remain in active use as an access point, or has it been sealed, relocated, or otherwise removed from use since the container was installed?","EXPOSURE","SURVIVED","Whether the personnel door and window in the workshop wall opposite the container are currently in active use by personnel.","If the door/window is a live, used access point four metres from the battery container, personnel exposure to a fire/explosion or vented gas event is real and current, supporting escalation such as increased separation, barrier protection, or door relocation. If it has been decommissioned, blocked, or is no longer used, the exposure pathway this candidate relies on does not currently exist and no siting-related action is needed.","cand-fire-explosion","ACTIVE","","cand-fire-explosion=ACTIVE | cand-emergency-equipment=INSUFFICIENT_EVIDENCE","[cand-fire-explosion] The observation establishes the battery energy storage container is positioned roughly four metres from a workshop wall that has a personnel door and window opening onto the yard, placing an occupied building opening close to a battery storage installation.  ||  [cand-emergency-equipment] The observation states the posted fire strategy depicts the yard layout from before the container was installed, meaning the displayed document does not reflect the current yard arrangement.","[cand-fire-explosion] Battery energy storage systems carry a fire and explosion hazard (thermal runaway with potential for jet flame or explosion venting). A close separation distance to a building opening (door/window) used by personnel is a current siting fact that creates a fire/explosion exposure pathway toward the workshop interior, independent of any operational fault occurring.  ||  [cand-emergency-equipment] A fire strategy document that predates a significant new fire/explosion hazard (the battery container) may no longer correctly show evacuation routes, hazard zones, or emergency response information relevant to responders and building occupants near the new installation. Whether this constitutes a current gap in emergency planning cannot be fully assessed from the observation alone.","Beyond the deterministic findings, the battery energy storage container's proximity to an occupied workshop opening raises a plausible fire/explosion exposure, and the posted fire strategy predating the container's installation raises a plausible emergency-planning gap; both are flagged with moderate confidence pending confirmation of current door/window usage and whether an updated strategy exists elsewhere. The active atmospheric hazard already found, combined with the container's reliance on ventilation and gas detection to manage battery off-gassing, means inadequate ventilation could allow gas buildup that turns a fire event into an explosion, worsened by the short four-metre path to the workshop opening. Two clarifications are raised because their answers would materially change whether siting/access controls or emergency-planning updates are actually required now.",""
"HS-G1","SYSTEM_COVERAGE","false","REQUIRED","whether the depot fire strategy was reassessed for the container's position relative to the workshop openings","APPLICABILITY","whether the depot fire strategy was reassessed when the container was installed  ||  what separation the fire strategy requires between such a container and workshop openings","Has the depot fire strategy been reviewed or updated to reflect the addition of the battery energy storage container, even if the posted copy on the office wall has not yet been reprinted?","REQUIRED_CONTROL","SURVIVED","Whether an updated version of the fire strategy accounting for the container exists anywhere at the depot, distinct from the outdated copy posted on the office wall.","If an updated fire strategy exists (even unposted) that accounts for the container's location, hazard zone, and emergency response needs, the posted document is merely an outdated display copy and the only action needed is administrative (reprint/repost). If no updated strategy exists anywhere, then the site currently lacks any emergency planning basis that accounts for this new fire/explosion hazard, which is a materially more significant gap requiring the strategy to be developed before further reliance on it.","cand-emergency-equipment","INSUFFICIENT_EVIDENCE","","cand-fire-explosion=ACTIVE | cand-emergency-equipment=INSUFFICIENT_EVIDENCE","[cand-fire-explosion] The observation establishes the battery energy storage container is positioned roughly four metres from a workshop wall that has a personnel door and window opening onto the yard, placing an occupied building opening close to a battery storage installation.  ||  [cand-emergency-equipment] The observation states the posted fire strategy depicts the yard layout from before the container was installed, meaning the displayed document does not reflect the current yard arrangement.","[cand-fire-explosion] Battery energy storage systems carry a fire and explosion hazard (thermal runaway with potential for jet flame or explosion venting). A close separation distance to a building opening (door/window) used by personnel is a current siting fact that creates a fire/explosion exposure pathway toward the workshop interior, independent of any operational fault occurring.  ||  [cand-emergency-equipment] A fire strategy document that predates a significant new fire/explosion hazard (the battery container) may no longer correctly show evacuation routes, hazard zones, or emergency response information relevant to responders and building occupants near the new installation. Whether this constitutes a current gap in emergency planning cannot be fully assessed from the observation alone.","Beyond the deterministic findings, the battery energy storage container's proximity to an occupied workshop opening raises a plausible fire/explosion exposure, and the posted fire strategy predating the container's installation raises a plausible emergency-planning gap; both are flagged with moderate confidence pending confirmation of current door/window usage and whether an updated strategy exists elsewhere. The active atmospheric hazard already found, combined with the container's reliance on ventilation and gas detection to manage battery off-gassing, means inadequate ventilation could allow gas buildup that turns a fire event into an explosion, worsened by the short four-metre path to the workshop opening. Two clarifications are raised because their answers would materially change whether siting/access controls or emergency-planning updates are actually required now.",""
"HS-H1","WORST_CASE_TEMPTATION","true","REQUIRED","whether the load was given a cooling hold appropriate to its contents before the door was opened","REQUIRED_CONTROL","whether the load was given a cooling hold before the door was opened  ||  whether this was a liquid cycle requiring a cooling hold  ||  whether the load temperature was checked before the door was opened","Was the over-temperature alarm's failure to sound during the observed cycle due to a normal cycle profile that never reached the alarm setpoint, or due to a fault in the alarm/sensor itself?","REQUIRED_CONTROL","SURVIVED","Whether the over-temperature alarm is functional was not established; only that it did not sound during the one observed cycle.","If the alarm did not sound because the cycle simply never reached an over-temperature condition, no corrective action on the alarm system is needed. If the alarm failed to sound despite conditions that should have triggered it (a faulty sensor or alarm circuit), the autoclave is currently operating with a non-functional safety alarm and must be removed from service or flagged for repair before further cycles are run, since operators would have no warning of a future over-temperature event.","","","","cand-thermal=ACTIVE | cand-pressure=CORRECTED","[cand-thermal] The technician is wearing heat-resistant gloves while opening the autoclave door immediately after a cycle, indicating the load/chamber and its contents are still expected to be hot enough to require thermal protection.  ||  [cand-pressure] The gauge reading indicates the chamber pressure is currently at zero.","[cand-thermal] Autoclave contents and internal surfaces remain hot immediately after a cycle even though pressure has released to zero; the technician's use of heat-resistant gloves and positioning to the hinge side as the door opens indicates an ongoing thermal burn exposure from hot surfaces, residual steam, or the load itself as the door is opened.  ||  [cand-pressure] The pressure gauge reading zero indicates the chamber has depressurized before door opening, which is the correct state for safe door release; this is included for completeness as a pressure-system-relevant fact even though it does not indicate a current hazard.","Beyond the guarding/interlock and suspended-load findings, the immediate post-cycle door opening carries a residual thermal burn exposure, mitigated by the technician's heat-resistant gloves, lab coat, and hinge-side positioning. The chamber pressure reading zero indicates depressurization occurred correctly and is not itself a current hazard. A genuine open question is whether the over-temperature alarm's silence during the cycle reflects normal operation or a latent alarm fault, which would determine whether the unit needs to be pulled from service.",""
"HS-J1","EXPLICITLY_PRESENT","false","FORBIDDEN","is the breathing air actually clean, and has the booth extract been quantitatively tested rather than just indicated?","NONE_OWED","","(none emitted)","","","","","","","CANDIDATE_MALFORMED","cand-chem-1=CONTROLLED | cand-resp-1=CONTROLLED | cand-fire-1=INSUFFICIENT_EVIDENCE","[cand-chem-1] The observation establishes spray painting is actively underway, which is a chemical inhalation/contact exposure source, but the same text describes active extraction and PPE controls addressing it.  ||  [cand-resp-1] The observation states the sprayer is wearing supplied-air respiratory protection with a breathing-air filter, and that the filter change record is signed for the current month, indicating the respiratory protection element is current and maintained.  ||  [cand-fire-1] ","[cand-chem-1] Spray painting generates overspray and solvent vapors that are a chemical inhalation/contact hazard. The observation shows this hazard is present but currently controlled by the running booth extract (airflow confirmed in green band) and the air-fed hood supplied with filtered breathing air, so it is raised as a controlled hazard rather than an uncontrolled one.  ||  [cand-resp-1] Supplied-air respiratory protection is itself a hazard family requiring attention to breathing air quality; here the filter maintenance record is current, so the respiratory protection appears adequately controlled based on stated facts.  ||  [cand-fire-1] Paint spray booths involve flammable solvent vapors and an ignition-capable environment; the observation does not mention bonding/grounding, ventilation rate adequacy for flammability, or ignition source controls beyond the gun-fan interlock, so a fire/explosion hazard from solvent vapor accumulation cannot be ruled in or out from the text.","The deterministic finding confirms an active guarding/interlock control preventing gun operation without extract fans running, which directly mitigates the chemical inhalation hazard inherent to spray painting. The observation also shows the respiratory protection element (air-fed hood with a currently-signed filter record) is in place and current, and airflow was directly observed in the acceptable band. No fire/explosion-specific controls (such as bonding or vapor concentration monitoring) are mentioned, so that hazard family is noted only as a low-confidence, unconfirmed possibility rather than a stated gap.","The observation does not describe any ignition-source or vapor-concentration controls specific to fire/explosion risk in the booth, but this is not established as either present or absent from the text, and no current decision turns on it given the other controls described."
