"rowId","retentionForm","hazardEstablished","expectation","absenceIsUnmarked","authoredMissingFact","authoredAffectedDecision","authoredRetainedFact","expectedParkingChannel","emittedQuestion","emittedAffectedDecision","survived","emittedEvidenceGap","emittedWhyItMatters","relatesToCandidateKey","namedCandidateState","issueCodes","candidateStates","candidateEvidenceBasis","candidateReasoning","explanationSummary","uncertaintyStatements"
"RB-A1","UNKNOWN_IS_THE_CANDIDATE","true","REQUIRED","true","whether a lone-worker check-in or monitoring arrangement is running for this visit","REQUIRED_CONTROL","whether any lone-worker monitoring or check-in arrangement covers this visit","expected parking place: a candidate left INSUFFICIENT_EVIDENCE for a lone-working or supervision family, and/or reasoning describing it as a possible gap","Does the technician have a means of summoning help (radio, satellite phone, check-in schedule, or emergency alert device) while working alone at this remote site?","REQUIRED_CONTROL","SURVIVED","The observation does not state whether the technician has any communication device, alarm, or scheduled check-in procedure to summon assistance.","If a reliable communication or check-in system is in place, the lone-working exposure is mitigated by a call-for-help capability even though the worker is physically alone; if no such means exists, the worker has no way to summon aid in the event of an injury or a gas release two miles from the public road, which would warrant an immediate corrective action to establish a communication or buddy system before work continues.","lone-working","ACTIVE","","lone-working=ACTIVE | chemical-release-gas=INSUFFICIENT_EVIDENCE","[lone-working] The observation states the technician is working alone at a remote site with no other person present, while performing a task on a pressurized valve system.  ||  [chemical-release-gas] The observation shows the technician breaking the bonnet on a pressurized valve, an activity that can release contained gas, and that a gas detector he is wearing currently reads green.","[lone-working] A lone worker performing maintenance on a pressure system (breaking a bonnet, an active pressure_systems hazard) at a remote location two miles from the public road has no one to render aid, summon help, or notice a deteriorating gas detector reading if an incident occurs. This is a current exposure, not a hypothetical, since the work is actively underway now with no other person on site.  ||  [chemical-release-gas] Breaking a valve bonnet on a pipeline section valve can release residual gas or vapor from the line into the surrounding atmosphere. The gas detector currently reads green, indicating no detected gas at the collar at this moment, but the detector is a point-of-body sensor and the bonnet has apparently already been broken, so a release could be localized near the valve rather than at collar height, or could develop as work proceeds. Existence of an active release is not established one way or the other from a single green reading.","The technician is working entirely alone at a remote fenced valve installation while breaking the bonnet on a pressurized section valve, an active pressure_systems hazard already identified, and the isolation of the site compounds that hazard because no one is present to assist if the work goes wrong. A possible chemical/gas release from breaking the bonnet is plausible but not established either way, since the collar-worn gas detector currently reads green. The key open question is whether the lone worker has any means to summon help, which determines whether the lone-working exposure is adequately controlled or requires an added safeguard.",""
"RB-B1","UNKNOWN_IS_A_PROGRAMME_EXISTENCE","true","REQUIRED","true","whether the oven is fitted with a functioning steam-purge or delayed-release interlock","REQUIRED_CONTROL","whether this oven has a steam-purge or delayed-release interlock at all","expected parking place: an INSUFFICIENT_EVIDENCE thermal or guarding candidate, or reasoning calling the purge ""possible"" or ""not confirmed""","(none emitted)","","","","","","","","steam-burn-face=ACTIVE | no-face-protection=ACTIVE","[steam-burn-face] The observation states steam is discharging at face height as the porter opens the oven door, and that he steps back as he opens it, indicating proximity to the discharge.  ||  [no-face-protection] The observation states directly that the worker has no face protection while performing the task described.","[steam-burn-face] Steam discharge at face height on door opening at the end of a steam cycle presents a direct scald/burn hazard to the operator's face, eyes and airway. The porter stepping back is a self-protective reaction to an already-occurring exposure, not a control that removes the hazard.  ||  [no-face-protection] The worker has no face or eye protection while opening the steam oven, leaving his face and eyes exposed to the hot steam discharge occurring at the same moment.","The porter is exposed to a direct thermal burn/scald hazard from steam discharging at face height when opening the combination oven, and he has no face protection, which together increase the severity of potential injury to the face and eyes. The canopy and running extract address general kitchen air quality but do not address this direct-contact steam exposure at the point of door opening. No regulatory record was supplied covering PPE or thermal hazards in this setting, so no compliance obligation is asserted.",""
"RB-C1","UNKNOWN_IS_A_PRIOR_EVENT","true","REQUIRED","true","whether the ground beside the backfilled trench was assessed and the mats sized to the assessed bearing pressure before set-up","REQUIRED_CONTROL","whether a ground bearing assessment was carried out for this set-up position","expected parking place: an INSUFFICIENT_EVIDENCE ground or lifting candidate, or reasoning noting that the assessment ""is not stated""","Has the ground-bearing capacity of the backfilled trench area been assessed or verified as adequate to support the outrigger load at its current position, or has the crane setup been checked against the trench location by a competent person?","HAZARD_SEVERITY","SURVIVED","Whether the ground-bearing capacity of the backfilled trench area beneath/near the outrigger has been evaluated or confirmed adequate for the imposed load.","If the backfill has been verified as compacted/adequate (or the outrigger repositioned/matted specifically to span the trench), the current setup can proceed as planned. If it has not been assessed and the backfill is inadequately compacted, the outrigger could punch through or settle during the lift, causing a load-bearing failure or crane tip-over once the lift begins — a materially different and more dangerous outcome requiring repositioning or ground improvement before lifting.","excav-1","ACTIVE","","excav-1=ACTIVE","[excav-1] The observation states the rear outrigger is positioned about a metre from a backfilled trench line, with the trench identified only by a strip of different-coloured surfacing.","[excav-1] A backfilled trench beneath or adjacent to an outrigger pad is a ground-bearing capacity concern: backfill is typically less compacted than undisturbed soil and may not support the concentrated point load a crane outrigger imposes, especially near the trench edge. With the outrigger about a metre away and the lift not yet started, this is a current condition affecting the crane's ground support that should be assessed before loads are lifted.","The deterministic engine correctly flags the mobile crane lift as an active suspended-load/mobile-equipment hazard. In addition, the rear outrigger sits only about a metre from a backfilled service trench, and backfill typically has lower bearing capacity than undisturbed ground, creating a ground-support risk for that outrigger pad that has not been confirmed as assessed. Because the lift has not yet started, this is a live decision point: whether the appointed person or a competent person has verified the ground condition before loads are applied determines whether the current setup is safe to proceed with or needs adjustment.",""
"RB-D1","UNKNOWN_IS_AN_AUTHORISATION_STATE","true","REQUIRED","true","whether the pass-through hatch is an interlocked airlock sealed from the isolator chamber","EXPOSURE","whether the pass-through hatch is interlocked and isolated from the isolator chamber","expected parking place: an INSUFFICIENT_EVIDENCE exposure candidate for the second person, or reasoning calling the hatch arrangement unclear","Have the materials being handed into the pass-through hatch been decontaminated or are they still potentially contaminated with cytotoxic residue at the point the second person reaches in to the elbow?","HAZARD_SEVERITY","SURVIVED","The observation does not state whether the materials or hatch interior are contaminated, clean, or decontaminated at the point of transfer.","If the materials/hatch surfaces are known to be clean or decontaminated at that point, the bare-arm contact is not a contact exposure to cytotoxic residue and no additional glove/gauntlet control is needed; if they may carry residue (e.g., outer surfaces of vials, or the hatch interior itself), then the current PPE (lab coat, no gauntlets) is inadequate and additional barrier protection must be required for that task now.","","","","C1=ACTIVE | C2=ACTIVE","[C1] The text states the second person is wearing only a laboratory coat with no gauntlets and is reaching into the pass-through hatch to the elbow during the material transfer.  ||  [C2] The text states the second person handling materials at the hatch is wearing a laboratory coat and no gauntlets.","[C1] A pass-through hatch on a negative-pressure isolator used to compound a cytotoxic preparation is a point of potential surface contamination transfer. The second person reaching to the elbow with no gauntlets (only a lab coat) during an active transfer creates a direct skin-contact exposure pathway to cytotoxic drug residue on materials or hatch surfaces, without the barrier protection (gauntlets) used elsewhere on the isolator's glove ports.  ||  [C2] The person handling the transfer at the pass-through into a cytotoxic-compounding isolator lacks the gauntlets/barrier protection used at the glove ports by the primary operator, indicating a PPE mismatch for the task being performed at the point of material transfer.","The primary compounding operation is properly controlled: the isolator is within its negative-pressure operating band and the operator is using the glove ports. However, a second worker is reaching bare-armed (lab coat only, no gauntlets) to the elbow into the pass-through hatch during a material transfer into a cytotoxic-handling enclosure, creating a potential skin-contact exposure pathway that lacks the barrier protection used at the main glove ports. Whether the materials/hatch surfaces carry residue at this point is not stated, and that fact determines whether additional PPE is required for this second access point.",""
"RB-E1","UNKNOWN_IS_A_SYSTEM_COVERAGE","false","REQUIRED","true","whether the sprinkler installation was designed or re-assessed for the raised storage height and the current commodity, or is still on the previous lower configuration","APPLICABILITY","whether the sprinkler design basis covers the new, higher storage configuration","expected parking place: an INSUFFICIENT_EVIDENCE fire or emergency-equipment candidate, or reasoning noting that the design basis is not stated","What is the minimum clearance required between the top of storage and the sprinkler deflectors for this specific sprinkler/storage configuration (e.g., is 700mm within or below the design clearance for this system and commodity class)?","HAZARD_SEVERITY","SURVIVED","The required minimum clearance distance between top of storage and sprinkler deflectors for this system/commodity has not been stated or supplied.","If 700mm meets or exceeds the design clearance required for this sprinkler system and storage arrangement, the re-racking is a benign change with no fire protection impact and no corrective action is needed. If 700mm is below the required design clearance, the sprinkler system's ability to control a fire at the new top level is compromised, requiring either re-racking down, sprinkler relocation, or restocking limits until fixed. No design clearance standard or specification was supplied, so this cannot currently be resolved.","cand-1","ACTIVE","","cand-1=ACTIVE","[cand-1] The observation states the reduced clearance between the top of stock and the sprinkler deflectors as a current physical fact following the re-racking.","[cand-1] Storage commodity now sits only about 700mm below the sprinkler deflectors. Reduced clearance between top storage and deflectors is a recognized fire protection deficiency because it can interfere with sprinkler discharge pattern (catch-up/skipping) and delay or prevent adequate water application to a fire in the top tier, especially in a high-piled combustible storage arrangement such as palletised cartons on timber pallets. This is a current physical condition, not a hypothetical one.","The re-racking has reduced clearance between the top of palletised storage and the sprinkler deflectors to about 700mm, which is a current physical condition that may compromise sprinkler discharge effectiveness for the top storage tier even though the sprinkler heads themselves remain unobstructed and system pressure reads normal. Whether this clearance is adequate depends on a design clearance figure not present in the observation, so the severity of this fire protection exposure cannot be resolved without that data. No governed record was supplied to assess compliance, so no regulatory conclusion is offered.",""
"RB-F1","DECISION_INVARIANT_INSUFFICIENCY","true","FORBIDDEN","","what is the truck's rated payload, and what did this load actually weigh?","NONE_OWED","","","What is the truck's rated payload capacity, and can the actual load weight be determined even without the weighbridge ticket?","HAZARD_SEVERITY","SURVIVED","The observation does not record the truck's rated payload, and the weighbridge ticket for this load was not available.","If the load, once quantified, is confirmed to substantially exceed rated payload, the truck should be stopped and unloaded to a safe level before continuing down the ramp; if it turns out to be only marginally over or the visual impression is misleading once weighed, a lesser corrective action (e.g., trimming the load) may suffice. Without any payload or weight figure, the severity of the overload exposure and the appropriate corrective response cannot be set.","overload_mobile_equipment","ACTIVE","","overload_mobile_equipment=ACTIVE | grade_braking_control_hazard=ACTIVE | mixed_traffic_struck_by=ACTIVE","[overload_mobile_equipment] The observation states the truck body is overloaded, with material visibly above the sideboards and spilling onto the road while the truck travels down the ramp.  ||  [grade_braking_control_hazard] The observation establishes a steep one-in-eight downgrade with only a windrow as an edge barrier.  ||  [mixed_traffic_struck_by] The observation states light vehicles are currently using the same haul road as the dump truck, traveling in both directions.","[overload_mobile_equipment] An overloaded haul truck traveling down a steep gradient carries increased risk of load instability, reduced braking effectiveness, and shifting weight affecting steering and stability, creating a mobile equipment hazard distinct from the spill itself.  ||  [grade_braking_control_hazard] A steep downgrade combined with an overloaded vehicle increases stopping distance and rollover/run-away risk; a windrow provides only a partial edge barrier compared to a full berm, so the combination of grade and load raises the risk of the truck failing to negotiate the ramp safely.  ||  [mixed_traffic_struck_by] Light vehicles sharing a haul road with a heavy, overloaded dump truck on a steep downgrade creates a struck-by / collision exposure, particularly given the truck's reduced control margin and spilling material affecting road surface traction.","Beyond the deterministic spill and fall-protection findings, the observation supports an active mobile equipment hazard: the dump truck is evidently overloaded while descending a steep one-in-eight ramp shared with light vehicles traveling in both directions, and the windrow provides only a partial edge barrier. The overload, the grade, and the mixed traffic interact: reduced braking margin from the overload on a steep downgrade increases the chance of a control loss resulting in collision with a light vehicle, and spilled material on the road surface further degrades traction for all road users. The truck's rated payload and actual load weight are not established (no weighbridge ticket available), which is needed to determine the severity of the overload and the appropriate corrective response.",""
"RB-G1","NON_DECISION_CRITICAL_DETAIL","false","FORBIDDEN","","what year was the guillotine manufactured, and what is its serial number?","NONE_OWED","","","(none emitted)","","","","","","","","cand-maint-overdue=ACTIVE","[cand-maint-overdue] The maintenance sticker records a service four months ago against an annual maintenance interval, which is a stated fact about the machine's maintenance history but does not by itself establish that the guarding or blade mechanism is currently deficient.","[cand-maint-overdue] This is included as a distinct point of note rather than a separate confirmed hazard: the stated maintenance interval information does not, on its own, establish a current guarding defect, but it is a maintenance-status fact worth tracking alongside the active machine_guarding finding since the guillotine is a blade machine in active use.","The observation describes the operator using the guillotine's two-hand controls and finger guard correctly, with the blade enclosed and back gauge set, so the currently stated use of the machine appears controlled. The maintenance sticker showing a service four months into an annual interval is simply a status fact and does not, on its own, establish any current guarding or mechanical deficiency, so no additional active hazard is raised from it. No decision-critical facts are missing given the deterministic machine_guarding finding and the lockout/tagout assessment already left as unresolved by the deterministic engine.","The observation does not state the machine's year of manufacture or serial number, but nothing in the observation ties this absence to a specific current decision about guarding or energy control, so it is not raised as a clarification."
"RB-H1","EXPLICITLY_ABSENT","true","FORBIDDEN","","are blank flanges genuinely unavailable, or could a set be obtained — and were the valves actually proved closed rather than just turned?","NONE_OWED","","","Is the CIP caustic circuit that shares the header upstream of the near valve currently running, pressurized, or otherwise capable of being operated while the exchanger is open for inspection?","EXPOSURE","SURVIVED","Current operating/isolation status of the CIP caustic circuit sharing the header is not stated.","If the CIP circuit is confirmed shut down, drained or itself isolated, the single-valve isolation on the exchanger is not exposed to an active caustic source and the current control may be adequate; if the CIP circuit can be run or is pressurized during this work, caustic could pass the near valve (which has no positive isolation such as a blank flange) and reach the open exchanger, requiring the work to stop until a positive isolation is added.","caustic-chemical-exposure","INSUFFICIENT_EVIDENCE","","loto-single-valve-isolation=ACTIVE | caustic-chemical-exposure=INSUFFICIENT_EVIDENCE","[loto-single-valve-isolation] The observation states isolation relies solely on two manual valves (no physical break such as a blank flange), and that the caustic CIP circuit shares the same header upstream of the near valve.  ||  [caustic-chemical-exposure] The text establishes that the caustic CIP circuit shares a common header upstream of the isolation valve nearest the exchanger, but does not state whether the CIP system is currently running, isolated, or otherwise controlled.","[loto-single-valve-isolation] Isolation by closing valves alone, without a positive means of isolation such as a blank/spade, leaves a single point of failure: if either valve is not fully seated, leaks through, or is inadvertently opened, caustic from the shared header could reach the now-open exchanger where the guard panel has been removed and plate inspection is underway. This is a current condition (the isolation method in use right now) not a hypothetical.  ||  [caustic-chemical-exposure] If the CIP caustic circuit were operated or pressurized while the plate pack is open for inspection, caustic could migrate through the shared header toward the isolated section, exposing the fitter at the open exchanger to a corrosive chemical release. Whether this is a live current exposure depends on the current state of the CIP circuit, which is not stated.","The exchanger is isolated only by two closed, tagged manual valves because no blank flange has ever been available on site, and this line shares its header with the CIP caustic circuit upstream of the near valve — a single point of failure rather than a positive isolation. With the guard panel removed for plate inspection, a valve failure or inadvertent reopening while caustic is present in the shared header could expose the fitter working at the open, unguarded exchanger to a corrosive chemical release. Whether the CIP circuit is currently live and whether any positive isolation method will be substituted for the missing blank flange are both unresolved and decision-critical to whether this work should continue as currently controlled.",""
"RB-H1","EXPLICITLY_ABSENT","true","FORBIDDEN","","are blank flanges genuinely unavailable, or could a set be obtained — and were the valves actually proved closed rather than just turned?","NONE_OWED","","","Is a positive means of isolation (such as a blank flange, spade, or double block and bleed) available or planned for this exchanger given none is on site, or will the work proceed relying only on the two closed and tagged manual valves?","REQUIRED_CONTROL","SURVIVED","Whether any positive isolation method beyond the two closed/tagged manual valves is available, planned, or being substituted is not stated.","If a positive isolation method can be obtained or substituted (e.g., double block and bleed with verified bleed, or a spool removal), the isolation is adequate and work may continue as controlled; if none is available and only single valve closure plus tag is relied upon, the isolation does not meet a positive-isolation standard for opening equipment on a line connected to a hazardous chemical source, and work should be halted or an alternative barrier installed before the plate pack is opened further.","loto-single-valve-isolation","ACTIVE","","loto-single-valve-isolation=ACTIVE | caustic-chemical-exposure=INSUFFICIENT_EVIDENCE","[loto-single-valve-isolation] The observation states isolation relies solely on two manual valves (no physical break such as a blank flange), and that the caustic CIP circuit shares the same header upstream of the near valve.  ||  [caustic-chemical-exposure] The text establishes that the caustic CIP circuit shares a common header upstream of the isolation valve nearest the exchanger, but does not state whether the CIP system is currently running, isolated, or otherwise controlled.","[loto-single-valve-isolation] Isolation by closing valves alone, without a positive means of isolation such as a blank/spade, leaves a single point of failure: if either valve is not fully seated, leaks through, or is inadvertently opened, caustic from the shared header could reach the now-open exchanger where the guard panel has been removed and plate inspection is underway. This is a current condition (the isolation method in use right now) not a hypothetical.  ||  [caustic-chemical-exposure] If the CIP caustic circuit were operated or pressurized while the plate pack is open for inspection, caustic could migrate through the shared header toward the isolated section, exposing the fitter at the open exchanger to a corrosive chemical release. Whether this is a live current exposure depends on the current state of the CIP circuit, which is not stated.","The exchanger is isolated only by two closed, tagged manual valves because no blank flange has ever been available on site, and this line shares its header with the CIP caustic circuit upstream of the near valve — a single point of failure rather than a positive isolation. With the guard panel removed for plate inspection, a valve failure or inadvertent reopening while caustic is present in the shared header could expose the fitter working at the open, unguarded exchanger to a corrosive chemical release. Whether the CIP circuit is currently live and whether any positive isolation method will be substituted for the missing blank flange are both unresolved and decision-critical to whether this work should continue as currently controlled.",""
"RB-I1","SETTLED_THRESHOLD","false","FORBIDDEN","","is 1,150 millimetres measured the way the supplied record requires, and is the stopping time still valid?","NONE_OWED","","","(none emitted)","","","","","","","","","","","The observation describes a two-hand control guard on the second guillotine with a measured safety distance (1,150mm) that comfortably exceeds the required stopping-time-based distance (620mm) under the same measurement method, which is exactly the criterion the supplied governed record uses to judge compliance. This suggests the guarding on this specific machine may be adequate as described, and the blanket ACTIVE machine_guarding finding for this observation may warrant closer review against the numbers given. No additional hazard candidates or decision-critical questions arise from this observation beyond that review point, since the record's condition is stated and resolvable from the given measurements.",""
